조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
MACD_Hist>0 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,160,137,85.62,4.45,MACD_Hist>0 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
SMA10>SMA50 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,139,119,85.61,3.88,SMA10>SMA50 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
SMA10>SMA50 + MACD_Hist>0 + VolSpike>1.5,3,173,148,85.55,4.28,SMA10>SMA50 + MACD_Hist>0 + VolSpike>1.5
SMA10>SMA50 + MACD>Signal + VolSpike>1.5,3,173,148,85.55,4.28,SMA10>SMA50 + MACD>Signal + VolSpike>1.5
MACD>Signal + BB_Squeeze + ADX>20_PlusDI>MinusDI,3,262,224,85.5,2.59,MACD>Signal + BB_Squeeze + ADX>20_PlusDI>MinusDI
MACD_Hist>0 + BB_Squeeze + ADX>20_PlusDI>MinusDI,3,262,224,85.5,2.59,MACD_Hist>0 + BB_Squeeze + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + MACD_Hist>0 + BB_Squeeze,3,192,164,85.42,2.28,SMA10>SMA50 + MACD_Hist>0 + BB_Squeeze
SMA10>SMA50 + MACD>Signal + BB_Squeeze,3,192,164,85.42,2.28,SMA10>SMA50 + MACD>Signal + BB_Squeeze
Price>SMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,163,139,85.28,3.8,Price>SMA20 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
SMA10>SMA50 + Price>SMA50 + MACD>Signal,3,1051,896,85.25,3.62,SMA10>SMA50 + Price>SMA50 + MACD>Signal
SMA10>SMA50 + Price>SMA50 + MACD_Hist>0,3,1051,896,85.25,3.62,SMA10>SMA50 + Price>SMA50 + MACD_Hist>0
SMA10>SMA50 + Price>EMA20 + MACD_Hist>0,3,1048,893,85.21,3.64,SMA10>SMA50 + Price>EMA20 + MACD_Hist>0
SMA10>SMA50 + Price>EMA20 + MACD>Signal,3,1048,893,85.21,3.64,SMA10>SMA50 + Price>EMA20 + MACD>Signal
