조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
SMA10>SMA50 + ADX>25 + ADX>20_PlusDI>MinusDI,3,996,799,80.22,3.15,SMA10>SMA50 + ADX>25 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,1176,943,80.19,3.16,EMA5>EMA20 + Price>EMA20 + ADX>20_PlusDI>MinusDI
Price>SMA200 + MACD>Signal + Stoch_Cross_Up,3,212,170,80.19,3.44,Price>SMA200 + MACD>Signal + Stoch_Cross_Up
Price>SMA200 + MACD_Hist>0 + Stoch_Cross_Up,3,212,170,80.19,3.44,Price>SMA200 + MACD_Hist>0 + Stoch_Cross_Up
SMA50>SMA200 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,106,85,80.19,3.79,SMA50>SMA200 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
Price>EMA20 + Stoch_Cross_Up + ADX>25,3,308,247,80.19,2.79,Price>EMA20 + Stoch_Cross_Up + ADX>25
EMA5>EMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,313,251,80.19,2.83,EMA5>EMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + Price>EMA20 + ThreeGreenDays,3,222,178,80.18,3.27,EMA5>EMA20 + Price>EMA20 + ThreeGreenDays
SMA5>SMA20 + Price>SMA20 + ThreeGreenDays,3,232,186,80.17,3.09,SMA5>SMA20 + Price>SMA20 + ThreeGreenDays
SMA5>SMA20 + EMA5>EMA20 + ADX>25,3,1141,914,80.11,3.07,SMA5>SMA20 + EMA5>EMA20 + ADX>25
EMA10>EMA50 + Price>SMA20 + ThreeGreenDays,3,196,157,80.1,3.33,EMA10>EMA50 + Price>SMA20 + ThreeGreenDays
EMA10>EMA50 + Price>EMA20 + ThreeGreenDays,3,196,157,80.1,3.33,EMA10>EMA50 + Price>EMA20 + ThreeGreenDays
Price>SMA20 + Price>EMA20 + ThreeGreenDays,3,226,181,80.09,3.22,Price>SMA20 + Price>EMA20 + ThreeGreenDays
EMA5>EMA20 + Price>SMA50 + ThreeGreenDays,3,221,177,80.09,3.17,EMA5>EMA20 + Price>SMA50 + ThreeGreenDays
Price>EMA20 + ThreeGreenDays,2,226,181,80.09,3.22,Price>EMA20 + ThreeGreenDays
Price>EMA20 + VolSpike>1.5,2,231,185,80.09,3.61,Price>EMA20 + VolSpike>1.5
Price>SMA20 + Price>EMA20 + VolSpike>1.5,3,231,185,80.09,3.61,Price>SMA20 + Price>EMA20 + VolSpike>1.5
EMA10>EMA50 + Price>SMA50 + VolSpike>1.5,3,216,173,80.09,3.67,EMA10>EMA50 + Price>SMA50 + VolSpike>1.5
EMA5>EMA20 + Price>SMA20 + ThreeGreenDays,3,226,181,80.09,3.27,EMA5>EMA20 + Price>SMA20 + ThreeGreenDays
Price>SMA50 + Price>EMA20 + ADX>25,3,1068,855,80.06,3.18,Price>SMA50 + Price>EMA20 + ADX>25
Price>EMA20 + ADX>20_PlusDI>MinusDI,2,1203,963,80.05,3.14,Price>EMA20 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + Price>SMA20 + ADX>25,3,897,718,80.04,3.42,SMA20>SMA100 + Price>SMA20 + ADX>25
EMA10>EMA50 + Price>SMA20 + ADX>20_PlusDI>MinusDI,3,1026,821,80.02,3.27,EMA10>EMA50 + Price>SMA20 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + MACD>Signal + BB_Squeeze,3,75,60,80.0,2.32,SMA20>SMA100 + MACD>Signal + BB_Squeeze
EMA10>EMA50 + ADX>25 + ThreeGreenDays,3,140,112,80.0,3.35,EMA10>EMA50 + ADX>25 + ThreeGreenDays
BB_Squeeze + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,55,44,80.0,2.14,BB_Squeeze + ADX>20_PlusDI>MinusDI + VolSpike>1.5
Price>EMA20 + ADX>25,2,1165,932,80.0,3.12,Price>EMA20 + ADX>25
Price>SMA20 + Price>SMA200 + ThreeGreenDays,3,160,128,80.0,3.56,Price>SMA20 + Price>SMA200 + ThreeGreenDays
SMA5>SMA20 + Price>SMA50 + ADX>20_PlusDI>MinusDI,3,1115,892,80.0,3.13,SMA5>SMA20 + Price>SMA50 + ADX>20_PlusDI>MinusDI
Price>SMA200 + Price>EMA20 + ThreeGreenDays,3,160,128,80.0,3.56,Price>SMA200 + Price>EMA20 + ThreeGreenDays
SMA20>SMA100 + MACD_Hist>0 + BB_Squeeze,3,75,60,80.0,2.32,SMA20>SMA100 + MACD_Hist>0 + BB_Squeeze
SMA10>SMA50 + EMA5>EMA20 + ADX>20_PlusDI>MinusDI,3,1089,871,79.98,3.1,SMA10>SMA50 + EMA5>EMA20 + ADX>20_PlusDI>MinusDI
Price>SMA20 + ThreeGreenDays,2,239,191,79.92,3.15,Price>SMA20 + ThreeGreenDays
Price>SMA50 + VolSpike>1.5,2,229,183,79.91,3.51,Price>SMA50 + VolSpike>1.5
EMA5>EMA20 + Price>SMA20 + VolSpike>1.5,3,229,183,79.91,3.61,EMA5>EMA20 + Price>SMA20 + VolSpike>1.5
SMA10>SMA50 + SMA50>SMA200 + VolSpike>1.5,3,154,123,79.87,4.02,SMA10>SMA50 + SMA50>SMA200 + VolSpike>1.5
SMA5>SMA20 + Price>SMA50 + ADX>25,3,1073,857,79.87,3.08,SMA5>SMA20 + Price>SMA50 + ADX>25
SMA50>SMA200 + Price>SMA20 + ThreeGreenDays,3,144,115,79.86,3.6,SMA50>SMA200 + Price>SMA20 + ThreeGreenDays
Price>SMA50 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,1111,887,79.84,3.16,Price>SMA50 + Price>EMA20 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + EMA10>EMA50 + ADX>20_PlusDI>MinusDI,3,1046,835,79.83,3.2,SMA5>SMA20 + EMA10>EMA50 + ADX>20_PlusDI>MinusDI
MACD>Signal + ADX>25 + ThreeGreenDays,3,153,122,79.74,3.32,MACD>Signal + ADX>25 + ThreeGreenDays
EMA5>EMA20 + Price>EMA20 + VolSpike>1.5,3,227,181,79.74,3.6,EMA5>EMA20 + Price>EMA20 + VolSpike>1.5
MACD_Hist>0 + ADX>25 + ThreeGreenDays,3,153,122,79.74,3.32,MACD_Hist>0 + ADX>25 + ThreeGreenDays
EMA10>EMA50 + Price>EMA20 + ADX>25,3,1005,801,79.7,3.24,EMA10>EMA50 + Price>EMA20 + ADX>25
SMA20>SMA100 + EMA5>EMA20 + VolSpike>1.5,3,182,145,79.67,3.84,SMA20>SMA100 + EMA5>EMA20 + VolSpike>1.5
Price>SMA200 + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,118,94,79.66,3.75,Price>SMA200 + ADX>20_PlusDI>MinusDI + ThreeGreenDays
Price>SMA50 + ADX>25 + ADX>20_PlusDI>MinusDI,3,1022,814,79.65,3.14,Price>SMA50 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + EMA10>EMA50 + ADX>25,3,1016,809,79.63,3.11,SMA5>SMA20 + EMA10>EMA50 + ADX>25
SMA50>SMA200 + Price>SMA20 + VolSpike>1.5,3,152,121,79.61,4.2,SMA50>SMA200 + Price>SMA20 + VolSpike>1.5
EMA5>EMA20 + ADX>20_PlusDI>MinusDI,2,1205,959,79.59,3.08,EMA5>EMA20 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + ThreeGreenDays,2,235,187,79.57,3.11,EMA5>EMA20 + ThreeGreenDays
SMA5>SMA20 + Stoch_Cross_Up + VolSpike>1.5,3,44,35,79.55,3.78,SMA5>SMA20 + Stoch_Cross_Up + VolSpike>1.5
SMA50>SMA200 + Price>EMA20 + VolSpike>1.5,3,151,120,79.47,4.21,SMA50>SMA200 + Price>EMA20 + VolSpike>1.5
EMA10>EMA50 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,1037,824,79.46,3.22,EMA10>EMA50 + Price>EMA20 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + Price>SMA50 + VolSpike>1.5,3,185,147,79.46,3.77,SMA20>SMA100 + Price>SMA50 + VolSpike>1.5
SMA10>SMA50 + Price>SMA50 + ThreeGreenDays,3,214,170,79.44,3.03,SMA10>SMA50 + Price>SMA50 + ThreeGreenDays
EMA5>EMA20 + Price>SMA200 + VolSpike>1.5,3,175,139,79.43,3.8,EMA5>EMA20 + Price>SMA200 + VolSpike>1.5
EMA5>EMA20 + EMA10>EMA50 + ThreeGreenDays,3,204,162,79.41,3.15,EMA5>EMA20 + EMA10>EMA50 + ThreeGreenDays
SMA10>SMA50 + Price>SMA50 + ADX>20_PlusDI>MinusDI,3,1097,871,79.4,3.04,SMA10>SMA50 + Price>SMA50 + ADX>20_PlusDI>MinusDI
MACD>Signal + VolSpike>1.5,2,223,177,79.37,3.52,MACD>Signal + VolSpike>1.5
MACD_Hist>0 + VolSpike>1.5,2,223,177,79.37,3.52,MACD_Hist>0 + VolSpike>1.5
MACD>Signal + MACD_Hist>0 + VolSpike>1.5,3,223,177,79.37,3.52,MACD>Signal + MACD_Hist>0 + VolSpike>1.5
EMA5>EMA20 + Price>SMA50 + ADX>20_PlusDI>MinusDI,3,1127,894,79.33,3.08,EMA5>EMA20 + Price>SMA50 + ADX>20_PlusDI>MinusDI
Price>EMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,324,257,79.32,2.75,Price>EMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + EMA5>EMA20 + ADX>25,3,1067,846,79.29,3.01,SMA10>SMA50 + EMA5>EMA20 + ADX>25
SMA50>SMA200 + Price>EMA20 + ThreeGreenDays,3,140,111,79.29,3.63,SMA50>SMA200 + Price>EMA20 + ThreeGreenDays
SMA5>SMA20 + SMA10>SMA50 + Price>SMA20,3,1443,1144,79.28,2.85,SMA5>SMA20 + SMA10>SMA50 + Price>SMA20
Price>SMA50 + Price>SMA200 + VolSpike>1.5,3,178,141,79.21,3.73,Price>SMA50 + Price>SMA200 + VolSpike>1.5
SMA20>SMA100 + Price>SMA20 + ADX>20_PlusDI>MinusDI,3,928,735,79.2,3.38,SMA20>SMA100 + Price>SMA20 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + SMA20>SMA100 + ADX>25,3,918,727,79.19,3.25,SMA5>SMA20 + SMA20>SMA100 + ADX>25
Price>SMA20 + RSI14_30_50,2,115,91,79.13,1.9,Price>SMA20 + RSI14_30_50
SMA20>SMA100 + Price>EMA20 + ADX>25,3,915,724,79.13,3.35,SMA20>SMA100 + Price>EMA20 + ADX>25
SMA10>SMA50 + ADX>20_PlusDI>MinusDI,2,1105,874,79.1,3.01,SMA10>SMA50 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + Stoch_Cross_Up + VolSpike>1.5,3,43,34,79.07,3.68,SMA10>SMA50 + Stoch_Cross_Up + VolSpike>1.5
SMA10>SMA50 + Price>SMA20 + Price>SMA50,3,1451,1147,79.05,2.86,SMA10>SMA50 + Price>SMA20 + Price>SMA50
EMA5>EMA20 + Price>SMA200 + ThreeGreenDays,3,167,132,79.04,3.33,EMA5>EMA20 + Price>SMA200 + ThreeGreenDays
SMA5>SMA20 + SMA20>SMA100 + ADX>20_PlusDI>MinusDI,3,944,746,79.03,3.32,SMA5>SMA20 + SMA20>SMA100 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + EMA5>EMA20 + Price>SMA20,3,1453,1148,79.01,2.85,SMA10>SMA50 + EMA5>EMA20 + Price>SMA20
SMA10>SMA50 + Price>SMA20 + Price>EMA20,3,1451,1146,78.98,2.86,SMA10>SMA50 + Price>SMA20 + Price>EMA20
EMA5>EMA20 + EMA10>EMA50 + ADX>20_PlusDI>MinusDI,3,1056,834,78.98,3.14,EMA5>EMA20 + EMA10>EMA50 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + Price>SMA20,2,1455,1149,78.97,2.85,SMA10>SMA50 + Price>SMA20
SMA5>SMA20 + EMA5>EMA20 + Price>SMA20,3,1581,1248,78.94,2.84,SMA5>SMA20 + EMA5>EMA20 + Price>SMA20
EMA5>EMA20 + VolSpike>1.5,2,237,187,78.9,3.47,EMA5>EMA20 + VolSpike>1.5
EMA10>EMA50 + ADX>25 + ADX>20_PlusDI>MinusDI,3,986,778,78.9,3.13,EMA10>EMA50 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,284,224,78.87,2.79,SMA10>SMA50 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + Price>SMA20,2,1651,1302,78.86,2.78,SMA5>SMA20 + Price>SMA20
Price>SMA50 + ThreeGreenDays,2,227,179,78.85,3.04,Price>SMA50 + ThreeGreenDays
SMA5>SMA20 + Price>SMA20 + Price>EMA20,3,1602,1263,78.84,2.81,SMA5>SMA20 + Price>SMA20 + Price>EMA20
EMA5>EMA20 + ADX>25,2,1167,920,78.83,2.98,EMA5>EMA20 + ADX>25
SMA5>SMA20 + Price>SMA20 + Price>SMA50,3,1486,1171,78.8,2.84,SMA5>SMA20 + Price>SMA20 + Price>SMA50
SMA10>SMA50 + EMA10>EMA50 + ADX>20_PlusDI>MinusDI,3,1048,824,78.63,3.06,SMA10>SMA50 + EMA10>EMA50 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + Price>SMA50 + ADX>25,3,1095,861,78.63,2.99,EMA5>EMA20 + Price>SMA50 + ADX>25
Price>SMA50 + ADX>20_PlusDI>MinusDI,2,1141,897,78.62,3.01,Price>SMA50 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,940,739,78.62,3.33,SMA20>SMA100 + Price>EMA20 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + EMA10>EMA50 + Price>SMA20,3,1365,1073,78.61,2.92,SMA5>SMA20 + EMA10>EMA50 + Price>SMA20
ADX>25 + ADX>20_PlusDI>MinusDI,2,1187,933,78.6,2.94,ADX>25 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + SMA10>SMA50 + Price>EMA20,3,1458,1146,78.6,2.8,SMA5>SMA20 + SMA10>SMA50 + Price>EMA20
EMA10>EMA50 + Price>SMA50 + ADX>20_PlusDI>MinusDI,3,1061,833,78.51,3.08,EMA10>EMA50 + Price>SMA50 + ADX>20_PlusDI>MinusDI
EMA10>EMA50 + Price>SMA50 + ThreeGreenDays,3,209,164,78.47,3.02,EMA10>EMA50 + Price>SMA50 + ThreeGreenDays
BB_Squeeze + ADX>25 + ThreeGreenDays,3,65,51,78.46,1.7,BB_Squeeze + ADX>25 + ThreeGreenDays
EMA5>EMA20 + Price>SMA20,2,1599,1254,78.42,2.82,EMA5>EMA20 + Price>SMA20
SMA10>SMA50 + EMA10>EMA50 + Price>SMA20,3,1357,1064,78.41,2.91,SMA10>SMA50 + EMA10>EMA50 + Price>SMA20
EMA5>EMA20 + Price>SMA20 + Price>EMA20,3,1588,1245,78.4,2.82,EMA5>EMA20 + Price>SMA20 + Price>EMA20
EMA5>EMA20 + Price>SMA20 + Price>SMA50,3,1500,1176,78.4,2.84,EMA5>EMA20 + Price>SMA20 + Price>SMA50
EMA10>EMA50 + VolSpike>1.5,2,222,174,78.38,3.52,EMA10>EMA50 + VolSpike>1.5
SMA50>SMA200 + EMA5>EMA20 + VolSpike>1.5,3,157,123,78.34,3.98,SMA50>SMA200 + EMA5>EMA20 + VolSpike>1.5
Price>SMA20 + Price>SMA200 + ADX>25,3,863,676,78.33,3.3,Price>SMA20 + Price>SMA200 + ADX>25
SMA5>SMA20 + EMA5>EMA20 + Price>EMA20,3,1589,1244,78.29,2.78,SMA5>SMA20 + EMA5>EMA20 + Price>EMA20
Price>SMA50 + Stoch_Cross_Up + ADX>25,3,290,227,78.28,2.65,Price>SMA50 + Stoch_Cross_Up + ADX>25
SMA5>SMA20 + Price>EMA20,2,1621,1268,78.22,2.76,SMA5>SMA20 + Price>EMA20
Price>SMA50 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,298,233,78.19,2.76,Price>SMA50 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + EMA10>EMA50 + ADX>25,3,1036,810,78.19,3.03,EMA5>EMA20 + EMA10>EMA50 + ADX>25
SMA10>SMA50 + Price>SMA50 + Price>EMA20,3,1480,1157,78.18,2.8,SMA10>SMA50 + Price>SMA50 + Price>EMA20
Price>SMA20 + Price>SMA50,2,1507,1178,78.17,2.82,Price>SMA20 + Price>SMA50
Price>SMA20 + Price>SMA50 + Price>EMA20,3,1506,1177,78.15,2.82,Price>SMA20 + Price>SMA50 + Price>EMA20
SMA10>SMA50 + EMA5>EMA20 + Price>EMA20,3,1474,1152,78.15,2.78,SMA10>SMA50 + EMA5>EMA20 + Price>EMA20
Price>SMA20 + Price>SMA200 + ADX>20_PlusDI>MinusDI,3,892,697,78.14,3.31,Price>SMA20 + Price>SMA200 + ADX>20_PlusDI>MinusDI
Price>SMA20,1,1702,1330,78.14,2.75,Price>SMA20
SMA50>SMA200 + Price>SMA50 + VolSpike>1.5,3,160,125,78.12,3.89,SMA50>SMA200 + Price>SMA50 + VolSpike>1.5
SMA5>SMA20 + Price>SMA50 + Price>EMA20,3,1504,1175,78.12,2.79,SMA5>SMA20 + Price>SMA50 + Price>EMA20
SMA10>SMA50 + Price>EMA20,2,1481,1157,78.12,2.79,SMA10>SMA50 + Price>EMA20
SMA20>SMA100 + EMA5>EMA20 + ADX>20_PlusDI>MinusDI,3,954,745,78.09,3.24,SMA20>SMA100 + EMA5>EMA20 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + BB_Squeeze + VolSpike>1.5,3,73,57,78.08,1.94,SMA5>SMA20 + BB_Squeeze + VolSpike>1.5
SMA50>SMA200 + EMA5>EMA20 + ThreeGreenDays,3,146,114,78.08,3.38,SMA50>SMA200 + EMA5>EMA20 + ThreeGreenDays
EMA5>EMA20 + EMA10>EMA50 + Price>SMA20,3,1381,1078,78.06,2.91,EMA5>EMA20 + EMA10>EMA50 + Price>SMA20
Price>SMA20 + Price>EMA20,2,1639,1279,78.04,2.78,Price>SMA20 + Price>EMA20
EMA10>EMA50 + Price>SMA20 + Price>SMA50,3,1380,1077,78.04,2.91,EMA10>EMA50 + Price>SMA20 + Price>SMA50
SMA5>SMA20 + Price>SMA200 + ADX>20_PlusDI>MinusDI,3,909,709,78.0,3.22,SMA5>SMA20 + Price>SMA200 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + ADX>25 + ADX>20_PlusDI>MinusDI,3,909,709,78.0,3.23,SMA20>SMA100 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + SMA10>SMA50 + Price>SMA50,3,1499,1169,77.99,2.7,SMA5>SMA20 + SMA10>SMA50 + Price>SMA50
SMA5>SMA20 + EMA10>EMA50 + Price>EMA20,3,1382,1077,77.93,2.86,SMA5>SMA20 + EMA10>EMA50 + Price>EMA20
Price>SMA50 + Price>SMA200 + ThreeGreenDays,3,172,134,77.91,3.18,Price>SMA50 + Price>SMA200 + ThreeGreenDays
EMA10>EMA50 + Price>SMA200 + VolSpike>1.5,3,181,141,77.9,3.62,EMA10>EMA50 + Price>SMA200 + VolSpike>1.5
SMA50>SMA200 + MACD>Signal + MACD_Hist>0,3,768,598,77.86,3.52,SMA50>SMA200 + MACD>Signal + MACD_Hist>0
SMA50>SMA200 + MACD_Hist>0,2,768,598,77.86,3.52,SMA50>SMA200 + MACD_Hist>0
SMA50>SMA200 + MACD>Signal,2,768,598,77.86,3.52,SMA50>SMA200 + MACD>Signal
SMA5>SMA20 + Price>SMA20 + Price>SMA200,3,1138,886,77.86,2.96,SMA5>SMA20 + Price>SMA20 + Price>SMA200
SMA5>SMA20 + SMA10>SMA50 + EMA5>EMA20,3,1507,1173,77.84,2.69,SMA5>SMA20 + SMA10>SMA50 + EMA5>EMA20
EMA10>EMA50 + Price>SMA20 + Price>EMA20,3,1387,1079,77.79,2.89,EMA10>EMA50 + Price>SMA20 + Price>EMA20
SMA5>SMA20 + SMA20>SMA100 + Price>SMA20,3,1202,935,77.79,3.0,SMA5>SMA20 + SMA20>SMA100 + Price>SMA20
SMA5>SMA20 + SMA10>SMA50,2,1512,1176,77.78,2.67,SMA5>SMA20 + SMA10>SMA50
Price>EMA20 + RSI14_30_50,2,54,42,77.78,1.84,Price>EMA20 + RSI14_30_50
SMA10>SMA50 + Price>SMA20 + Price>SMA200,3,1107,861,77.78,2.99,SMA10>SMA50 + Price>SMA20 + Price>SMA200
SMA5>SMA20 + Price>SMA200 + ADX>25,3,881,685,77.75,3.13,SMA5>SMA20 + Price>SMA200 + ADX>25
EMA10>EMA50 + Price>SMA20,2,1389,1080,77.75,2.89,EMA10>EMA50 + Price>SMA20
SMA5>SMA20,1,1738,1351,77.73,2.62,SMA5>SMA20
EMA10>EMA50 + ADX>20_PlusDI>MinusDI,2,1091,848,77.73,3.01,EMA10>EMA50 + ADX>20_PlusDI>MinusDI
SMA50>SMA200 + Price>SMA20 + ADX>25,3,753,585,77.69,3.41,SMA50>SMA200 + Price>SMA20 + ADX>25
SMA5>SMA20 + EMA5>EMA20,2,1648,1280,77.67,2.69,SMA5>SMA20 + EMA5>EMA20
Price>SMA200 + Price>EMA20 + ADX>25,3,876,680,77.63,3.26,Price>SMA200 + Price>EMA20 + ADX>25
EMA5>EMA20 + Price>EMA20,2,1613,1252,77.62,2.76,EMA5>EMA20 + Price>EMA20
Price>SMA200 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,902,700,77.61,3.26,Price>SMA200 + Price>EMA20 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + Price>SMA50 + Price>EMA20,3,1524,1182,77.56,2.77,EMA5>EMA20 + Price>SMA50 + Price>EMA20
SMA20>SMA100 + EMA5>EMA20 + ADX>25,3,940,729,77.55,3.13,SMA20>SMA100 + EMA5>EMA20 + ADX>25
Price>SMA200 + ADX>25 + VolSpike>1.5,3,147,114,77.55,3.84,Price>SMA200 + ADX>25 + VolSpike>1.5
SMA10>SMA50 + EMA10>EMA50 + Price>EMA20,3,1385,1074,77.55,2.85,SMA10>SMA50 + EMA10>EMA50 + Price>EMA20
SMA10>SMA50 + SMA20>SMA100 + ADX>20_PlusDI>MinusDI,3,944,732,77.54,3.13,SMA10>SMA50 + SMA20>SMA100 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + Price>SMA50 + ADX>20_PlusDI>MinusDI,3,957,742,77.53,3.17,SMA20>SMA100 + Price>SMA50 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + Price>SMA50,2,1546,1198,77.49,2.69,SMA5>SMA20 + Price>SMA50
SMA20>SMA100 + EMA10>EMA50 + VolSpike>1.5,3,191,148,77.49,3.59,SMA20>SMA100 + EMA10>EMA50 + VolSpike>1.5
SMA5>SMA20 + Price>SMA20 + Stoch_Cross_Up,3,431,334,77.49,2.49,SMA5>SMA20 + Price>SMA20 + Stoch_Cross_Up
SMA5>SMA20 + EMA5>EMA20 + Price>SMA50,3,1544,1196,77.46,2.69,SMA5>SMA20 + EMA5>EMA20 + Price>SMA50
Stoch_Cross_Up + ADX>25 + ADX>20_PlusDI>MinusDI,3,306,237,77.45,2.62,Stoch_Cross_Up + ADX>25 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + SMA20>SMA100 + Price>SMA20,3,1188,920,77.44,2.98,SMA10>SMA50 + SMA20>SMA100 + Price>SMA20
SMA10>SMA50 + Stoch_Cross_Up + ADX>25,3,288,223,77.43,2.53,SMA10>SMA50 + Stoch_Cross_Up + ADX>25
SMA5>SMA20 + Stoch_Cross_Up,2,434,336,77.42,2.48,SMA5>SMA20 + Stoch_Cross_Up
SMA20>SMA100 + Price>SMA200 + VolSpike>1.5,3,177,137,77.4,3.68,SMA20>SMA100 + Price>SMA200 + VolSpike>1.5
SMA5>SMA20 + Price>EMA20 + Stoch_Cross_Up,3,424,328,77.36,2.5,SMA5>SMA20 + Price>EMA20 + Stoch_Cross_Up
Price>SMA50 + Price>EMA20,2,1536,1188,77.34,2.76,Price>SMA50 + Price>EMA20
SMA20>SMA100 + VolSpike>1.5,2,194,150,77.32,3.57,SMA20>SMA100 + VolSpike>1.5
Price>EMA20,1,1670,1291,77.31,2.73,Price>EMA20
SMA5>SMA20 + EMA10>EMA50 + Price>SMA50,3,1418,1096,77.29,2.76,SMA5>SMA20 + EMA10>EMA50 + Price>SMA50
SMA50>SMA200 + Price>SMA20 + ADX>20_PlusDI>MinusDI,3,770,595,77.27,3.43,SMA50>SMA200 + Price>SMA20 + ADX>20_PlusDI>MinusDI
GoldenCross_5_20 + MACD>Signal,2,22,17,77.27,3.37,GoldenCross_5_20 + MACD>Signal
GoldenCross_5_20 + MACD>Signal + MACD_Hist>0,3,22,17,77.27,3.37,GoldenCross_5_20 + MACD>Signal + MACD_Hist>0
SMA5>SMA20 + GoldenCross_5_20 + MACD>Signal,3,22,17,77.27,3.37,SMA5>SMA20 + GoldenCross_5_20 + MACD>Signal
SMA50>SMA200 + VolSpike>1.5 + ThreeGreenDays,3,22,17,77.27,3.04,SMA50>SMA200 + VolSpike>1.5 + ThreeGreenDays
GoldenCross_5_20 + MACD_Hist>0,2,22,17,77.27,3.37,GoldenCross_5_20 + MACD_Hist>0
SMA5>SMA20 + GoldenCross_5_20 + MACD_Hist>0,3,22,17,77.27,3.37,SMA5>SMA20 + GoldenCross_5_20 + MACD_Hist>0
SMA5>SMA20 + Price>SMA200 + Price>EMA20,3,1148,887,77.26,2.91,SMA5>SMA20 + Price>SMA200 + Price>EMA20
EMA5>EMA20 + EMA10>EMA50 + Price>EMA20,3,1404,1084,77.21,2.83,EMA5>EMA20 + EMA10>EMA50 + Price>EMA20
EMA10>EMA50 + Price>SMA50 + Price>EMA20,3,1408,1087,77.2,2.84,EMA10>EMA50 + Price>SMA50 + Price>EMA20
SMA50>SMA200 + Price>SMA50 + ThreeGreenDays,3,149,115,77.18,3.23,SMA50>SMA200 + Price>SMA50 + ThreeGreenDays
EMA5>EMA20 + Price>SMA20 + Price>SMA200,3,1148,886,77.18,2.95,EMA5>EMA20 + Price>SMA20 + Price>SMA200
SMA5>SMA20 + SMA10>SMA50 + EMA10>EMA50,3,1410,1088,77.16,2.72,SMA5>SMA20 + SMA10>SMA50 + EMA10>EMA50
SMA20>SMA100 + EMA5>EMA20 + Price>SMA20,3,1217,939,77.16,2.98,SMA20>SMA100 + EMA5>EMA20 + Price>SMA20
SMA5>SMA20 + SMA10>SMA50 + Stoch_Cross_Up,3,376,290,77.13,2.55,SMA5>SMA20 + SMA10>SMA50 + Stoch_Cross_Up
SMA5>SMA20 + EMA5>EMA20 + Stoch_Cross_Up,3,415,320,77.11,2.52,SMA5>SMA20 + EMA5>EMA20 + Stoch_Cross_Up
SMA5>SMA20 + EMA5>EMA20 + EMA10>EMA50,3,1427,1100,77.08,2.75,SMA5>SMA20 + EMA5>EMA20 + EMA10>EMA50
SMA5>SMA20 + SMA50>SMA200 + ADX>20_PlusDI>MinusDI,3,785,605,77.07,3.33,SMA5>SMA20 + SMA50>SMA200 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + EMA10>EMA50,2,1435,1106,77.07,2.72,SMA5>SMA20 + EMA10>EMA50
SMA20>SMA100 + Price>SMA20 + Price>SMA50,3,1212,934,77.06,2.98,SMA20>SMA100 + Price>SMA20 + Price>SMA50
Price>SMA20 + Price>SMA50 + Price>SMA200,3,1137,876,77.04,2.96,Price>SMA20 + Price>SMA50 + Price>SMA200
