조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
RSI7_과매도(25이하) + RSI21_과매도(30이하) + BB_하단터치(1.5σ),3,72,0.5,0.0423,1.43
RSI14_과매도(35이하) + ADX14_강세(25이상) + OBV_SMA위,3,70,0.5,0.0123,0.5681
MACD_히스토_증가 + 가격_SMA200_위 + STOCH14_과매도(20이하),3,70,0.5,0.0214,1.5219
가격_SMA200_위 + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,68,0.5,-0.0083,-0.723
RSI14_과매도(30이하) + 가격_SMA200_위 + ADX14_강세(25이상),3,64,0.5,-0.0096,-0.7384
SMA20_골든크로스(50) + 가격_SMA50_위 + OBV_SMA위,3,64,0.5,0.0057,-0.0014
MACD_골든크로스 + 가격_SMA200_위,2,56,0.5,0.0033,-0.0353
MACD_히스토_전환(+) + 가격_SMA200_위,2,56,0.5,0.0033,-0.0353
MACD_골든크로스 + MACD_히스토_전환(+) + 가격_SMA200_위,3,56,0.5,0.0033,-0.0353
MACD_골든크로스 + MACD_히스토_증가 + 가격_SMA200_위,3,56,0.5,0.0033,-0.0353
MACD_히스토_전환(+) + MACD_히스토_증가 + 가격_SMA200_위,3,56,0.5,0.0033,-0.0353
RSI14_과매도(30이하) + 가격_SMA200_위 + BB_%B_과매도(0.2이하),3,52,0.5,-0.0182,-0.8268
MACD_골든크로스 + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,50,0.5,0.0009,-0.2893
MACD_히스토_전환(+) + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,50,0.5,0.0009,-0.2893
EMA7_골든크로스(20) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,50,0.5,-0.0166,-0.6991
RSI14_과매도(30이하) + RSI7_과매도(25이하) + BB_하단터치(2σ),3,46,0.5,-0.0258,-0.8095
RSI14_중립반등(40~50) + BB_%B_중간반등 + STOCH14_골든크로스,3,44,0.5,-0.0036,-0.253
MACD_골든크로스 + 가격_SMA200_위 + 가격_SMA50_위,3,42,0.5,-0.0012,-0.2124
MACD_히스토_전환(+) + 가격_SMA200_위 + 가격_SMA50_위,3,42,0.5,-0.0012,-0.2124
RSI14_과매도(30이하) + OBV_SMA위,2,38,0.5,0.0089,0.178
RSI14_과매도(30이하) + RSI14_과매도(35이하) + OBV_SMA위,3,38,0.5,0.0089,0.178
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),3,38,0.5,-0.0073,-0.3917
RSI14_과매도(30이하) + RSI7_과매도(25이하) + 가격_SMA200_위,3,34,0.5,-0.0443,-0.8791
RSI14_과매도(30이하) + MACD_히스토_증가 + OBV_SMA위,3,30,0.5,0.0103,0.2031
RSI14_중립반등(40~50) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,30,0.5,0.0151,0.1745
RSI7_과매도(25이하) + RSI21_과매도(30이하) + STOCH14_골든크로스,3,30,0.5,0.0268,0.6706
EMA7_골든크로스(20) + 가격_SMA200_위 + OBV_SMA위,3,30,0.5,-0.0067,-0.2728
RSI21_과매도(30이하) + MACD_히스토_증가 + BB_하단터치(1.5σ),3,28,0.5,0.038,0.8844
RSI21_과매도(30이하) + 가격_SMA200_위 + STOCH21_과매도(20이하),3,28,0.5,-0.0521,-0.8689
RSI14_과매도(30이하) + STOCH14_과매도(20이하) + OBV_SMA위,3,26,0.5,0.0043,0.0087
RSI7_과매도(25이하) + 가격_SMA50_위 + BB_%B_중간반등,3,26,0.5,0.0151,0.3121
가격_SMA200_위 + STOCH21_과매도(20이하) + OBV_SMA위,3,26,0.5,0.0357,1.0734
STOCH14_골든크로스 + STOCH21_과매도(20이하) + OBV_SMA위,3,24,0.5,0.0367,0.8101
RSI7_과매도(25이하) + 가격_SMA200_위 + BB_%B_중간반등,3,22,0.5,0.006,0.0357
EMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,22,0.5,-0.0118,-0.4018
BB_%B_중간반등 + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,22,0.5,0.0163,0.3233
EMA20_골든크로스(50) + 가격_SMA50_위 + OBV_SMA위,3,20,0.5,-0.0003,-0.1812
BB_하단터치(2σ) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,20,0.5,0.0227,0.3368
BB_하단터치(2σ) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,20,0.5,0.0227,0.3368
MACD_히스토_증가,1,1622,0.4994,0.008,-0.1417
RSI21_과매도(30이하) + ADX14_강세(25이상),2,223,0.4978,0.0312,38.4929
MACD_히스토_증가 + STOCH14_골든크로스 + OBV_SMA위,3,221,0.4977,0.0015,-0.5623
가격_SMA200_위 + 가격_SMA50_위 + BB_%B_중간반등,3,195,0.4974,0.006,0.3835
가격_SMA200_위 + 거래량_증가(1.5배),2,187,0.4973,-0.0028,-0.7264
RSI14_과매도(35이하) + RSI21_과매도(30이하),2,181,0.4972,0.0296,7.0033
MACD_히스토_증가 + ADX14_추세상승(+DI>-DI),2,837,0.497,0.0016,-0.9948
RSI14_중립반등(40~50),1,670,0.497,0.0056,-0.681
RSI14_과매도(35이하) + RSI21_과매도(30이하) + ADX14_강세(25이상),3,169,0.497,0.036,18.8853
BB_%B_과매도(0.2이하) + STOCH14_골든크로스,2,133,0.4962,0.0114,0.9122
BB_%B_과매도(0.2이하) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,125,0.496,0.0114,0.8028
SMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI),2,119,0.4958,0.0087,0.0176
RSI14_중립반등(40~50) + BB_%B_중간반등 + ADX14_강세(25이상),3,115,0.4957,0.0067,0.395
RSI7_과매도(25이하) + RSI21_과매도(30이하) + STOCH14_과매도(20이하),3,101,0.495,0.0538,11.068
RSI7_과매도(25이하) + 가격_SMA200_위 + BB_%B_과매도(0.2이하),3,97,0.4948,-0.0127,-0.8936
RSI14_중립반등(40~50) + 가격_SMA200_위 + BB_%B_중간반등,3,93,0.4946,-0.0021,-0.3928
가격_SMA50_위 + BB_%B_중간반등,2,275,0.4945,0.0033,-0.724
STOCH14_골든크로스 + ADX14_강세(25이상),2,431,0.4942,0.0053,-0.0756
가격_SMA50_위 + BB_%B_중간반등 + ADX14_강세(25이상),3,166,0.494,0.0084,0.7489
RSI14_과매도(30이하) + 가격_SMA200_위,2,83,0.494,-0.0106,-0.8268
RSI14_과매도(30이하) + RSI14_과매도(35이하) + 가격_SMA200_위,3,83,0.494,-0.0106,-0.8268
RSI7_과매도(25이하) + BB_하단터치(2σ) + STOCH14_과매도(20이하),3,81,0.4938,-0.004,-0.6806
RSI14_과매도(35이하) + RSI21_과매도(30이하) + BB_하단터치(1.5σ),3,71,0.493,0.0383,0.7315
SMA20_골든크로스(50) + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,67,0.4925,0.0094,0.369
RSI14_중립반등(40~50) + MACD_히스토_증가 + BB_%B_중간반등,3,132,0.4924,-0.0015,-0.683
MACD_히스토_증가 + 가격_SMA50_위 + OBV_SMA위,3,647,0.4915,0.0037,-0.8842
MACD_히스토_증가 + 가격_SMA50_위 + STOCH14_골든크로스,3,222,0.491,-0.0019,-0.8631
ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),2,210,0.4905,0.0093,0.2366
MACD_히스토_증가 + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,663,0.4902,0.0021,-0.953
RSI14_과매도(30이하) + BB_하단터치(2σ),2,51,0.4902,-0.0266,-0.8412
RSI14_과매도(30이하) + RSI14_과매도(35이하) + BB_하단터치(2σ),3,51,0.4902,-0.0266,-0.8412
RSI14_과매도(30이하) + BB_하단터치(2σ) + BB_하단터치(1.5σ),3,51,0.4902,-0.0266,-0.8412
RSI14_과매도(30이하) + BB_하단터치(2σ) + BB_%B_과매도(0.2이하),3,51,0.4902,-0.0266,-0.8412
RSI14_과매도(30이하) + BB_하단터치(2σ) + STOCH14_과매도(20이하),3,51,0.4902,-0.0266,-0.8412
RSI14_과매도(30이하) + BB_하단터치(2σ) + STOCH21_과매도(20이하),3,51,0.4902,-0.0266,-0.8412
MACD_히스토_증가 + BB_%B_중간반등 + ADX14_강세(25이상),3,147,0.4898,0.0012,-0.3612
MACD_골든크로스 + 가격_SMA50_위 + OBV_SMA위,3,49,0.4898,-0.0014,-0.3733
MACD_히스토_전환(+) + 가격_SMA50_위 + OBV_SMA위,3,49,0.4898,-0.0014,-0.3733
MACD_히스토_증가 + 가격_SMA200_위 + ADX14_강세(25이상),3,530,0.4887,0.0026,-0.6651
SMA20_골든크로스(50) + 가격_SMA200_위,2,86,0.4884,-0.0067,-0.569
EMA7_골든크로스(20) + 가격_SMA200_위,2,43,0.4884,-0.0105,-0.4453
RSI14_과매도(35이하) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,43,0.4884,-0.0092,-0.4688
MACD_히스토_증가 + EMA7_골든크로스(20) + 가격_SMA200_위,3,43,0.4884,-0.0105,-0.4453
RSI7_과매도(25이하) + BB_하단터치(2σ),2,84,0.4881,-0.0054,-0.7221
RSI7_과매도(25이하) + BB_하단터치(2σ) + BB_하단터치(1.5σ),3,84,0.4881,-0.0054,-0.7221
RSI7_과매도(25이하) + BB_하단터치(2σ) + BB_%B_과매도(0.2이하),3,84,0.4881,-0.0054,-0.7221
RSI14_과매도(35이하) + 가격_SMA200_위,2,166,0.488,-0.0046,-0.8763
MACD_히스토_증가 + 거래량_급증(2배이상) + OBV_SMA위,3,39,0.4872,0.0211,0.74
RSI14_중립반등(40~50) + 가격_SMA200_위,2,304,0.4868,0.0052,0.4453
MACD_히스토_증가 + 가격_SMA200_위 + STOCH14_골든크로스,3,226,0.4867,0.0028,-0.3767
RSI14_과매도(30이하) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,74,0.4865,0.0175,0.546
RSI7_과매도(25이하) + MACD_히스토_증가 + 가격_SMA200_위,3,37,0.4865,0.0009,-0.2188
RSI7_과매도(25이하) + RSI21_과매도(30이하),2,109,0.4862,0.0483,8.5387
RSI7_과매도(25이하) + RSI21_과매도(30이하) + STOCH21_과매도(20이하),3,109,0.4862,0.0483,8.5387
STOCH14_골든크로스,1,648,0.4861,0.0063,-0.3361
RSI14_과매도(30이하) + RSI21_과매도(30이하) + STOCH14_골든크로스,3,35,0.4857,0.0186,0.3546
MACD_히스토_증가 + 가격_SMA50_위 + 거래량_급증(2배이상),3,35,0.4857,0.0069,0.1155
RSI14_중립반등(40~50) + BB_%B_중간반등,2,206,0.4854,0.0008,-0.8238
SMA20_골든크로스(50) + 가격_SMA50_위,2,103,0.4854,0.006,0.1447
RSI14_중립반등(40~50) + 가격_SMA50_위 + OBV_SMA위,3,99,0.4848,0.0151,1.3906
EMA7_골든크로스(20) + ADX14_추세상승(+DI>-DI),2,66,0.4848,-0.0168,-0.7806
SMA20_골든크로스(50) + 가격_SMA200_위 + 가격_SMA50_위,3,66,0.4848,-0.0083,-0.5336
MACD_히스토_증가 + ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상),3,33,0.4848,0.0259,0.8468
EMA7_골든크로스(20) + OBV_SMA위,2,64,0.4844,-0.0148,-0.7446
MACD_골든크로스 + SMA20_골든크로스(50),2,31,0.4839,0.0053,0.0154
MACD_히스토_전환(+) + SMA20_골든크로스(50),2,31,0.4839,0.0053,0.0154
MACD_골든크로스 + MACD_히스토_전환(+) + SMA20_골든크로스(50),3,31,0.4839,0.0053,0.0154
MACD_골든크로스 + MACD_히스토_증가 + SMA20_골든크로스(50),3,31,0.4839,0.0053,0.0154
MACD_히스토_전환(+) + MACD_히스토_증가 + SMA20_골든크로스(50),3,31,0.4839,0.0053,0.0154
MACD_히스토_증가 + 가격_SMA200_위 + OBV_SMA위,3,523,0.4837,0.003,-0.7754
MACD_히스토_증가 + 가격_SMA50_위,2,830,0.4831,0.0004,-0.9971
EMA7_골든크로스(20),1,87,0.4828,-0.0106,-0.7584
MACD_히스토_증가 + BB_%B_중간반등 + OBV_SMA위,3,139,0.482,0.0004,-0.4699
RSI14_중립반등(40~50) + MACD_히스토_증가 + STOCH14_골든크로스,3,83,0.4819,-0.0038,-0.6862
MACD_히스토_증가 + 가격_SMA200_위 + BB_%B_중간반등,3,110,0.4818,-0.0051,-0.6319
RSI21_과매도(30이하) + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,81,0.4815,0.0336,0.6751
BB_%B_과매도(0.2이하) + STOCH14_골든크로스 + ADX14_강세(25이상),3,81,0.4815,0.01,0.4013
EMA20_골든크로스(50) + 가격_SMA50_위,2,27,0.4815,-0.0008,-0.2205
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + 가격_SMA50_위,3,27,0.4815,0.0002,-0.1715
RSI14_중립반등(40~50) + SMA20_골든크로스(50) + 가격_SMA50_위,3,27,0.4815,0.0081,0.1168
RSI7_과매도(25이하) + BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),3,27,0.4815,0.0103,0.1602
MACD_골든크로스 + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,52,0.4808,0.0013,-0.3016
MACD_히스토_전환(+) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,52,0.4808,0.0013,-0.3016
SMA20_골든크로스(50) + BB_%B_중간반등 + ADX14_강세(25이상),3,52,0.4808,-0.0038,-0.3321
RSI14_중립반등(40~50) + 가격_SMA200_위 + STOCH14_과매도(20이하),3,102,0.4804,0.0075,0.4937
RSI7_과매도(25이하) + RSI21_과매도(30이하) + BB_%B_과매도(0.2이하),3,100,0.48,0.0441,4.0662
RSI7_과매도(25이하) + MACD_히스토_증가 + STOCH14_골든크로스,3,50,0.48,0.0208,0.7161
RSI14_중립반등(40~50) + RSI21_과매도(30이하),2,25,0.48,0.0015,-0.0663
EMA7_골든크로스(20) + STOCH14_골든크로스,2,25,0.48,-0.0005,-0.0983
RSI14_과매도(30이하) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,25,0.48,-0.0047,-0.2374
MACD_히스토_증가 + EMA7_골든크로스(20) + STOCH14_골든크로스,3,25,0.48,-0.0005,-0.0983
EMA20_골든크로스(50) + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,25,0.48,-0.0023,-0.2424
가격_SMA50_위 + BB_%B_중간반등 + 거래량_증가(1.5배),3,25,0.48,0.01,0.1404
RSI14_중립반등(40~50) + 가격_SMA50_위 + ADX14_강세(25이상),3,121,0.4793,0.0097,0.9514
RSI7_과매도(25이하) + 가격_SMA200_위 + STOCH14_과매도(20이하),3,121,0.4793,-0.0093,-0.8887
RSI7_과매도(25이하) + RSI21_과매도(30이하) + ADX14_강세(25이상),3,94,0.4787,0.0638,23.49
EMA20_골든크로스(50) + OBV_SMA위,2,23,0.4783,-0.0146,-0.4469
RSI14_중립반등(40~50) + RSI21_과매도(30이하) + STOCH21_과매도(20이하),3,23,0.4783,0.0017,-0.0555
RSI14_중립반등(40~50) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,23,0.4783,0.0028,-0.0245
RSI7_과매도(25이하) + 가격_SMA200_위,2,159,0.478,-0.0083,-0.9294
RSI14_중립반등(40~50) + MACD_히스토_증가 + ADX14_강세(25이상),3,157,0.4777,0.0019,-0.2885
RSI14_과매도(30이하) + 가격_SMA200_위 + STOCH14_과매도(20이하),3,67,0.4776,-0.0146,-0.8367
RSI7_과매도(25이하) + STOCH14_골든크로스 + ADX14_강세(25이상),3,67,0.4776,0.0185,0.9102
RSI14_중립반등(40~50) + STOCH14_골든크로스 + OBV_SMA위,3,44,0.4773,0.027,0.9718
SMA20_골든크로스(50) + STOCH14_골든크로스 + OBV_SMA위,3,44,0.4773,0.0093,0.1394
가격_SMA50_위 + 거래량_증가(1.5배),2,197,0.4772,-0.0022,-0.7844
RSI14_과매도(35이하) + RSI21_과매도(30이하) + STOCH21_과매도(20이하),3,174,0.477,0.0277,3.8176
RSI14_중립반등(40~50) + STOCH14_골든크로스,2,130,0.4769,0.0037,-0.5823
MACD_히스토_증가 + EMA7_골든크로스(20) + ADX14_추세상승(+DI>-DI),3,65,0.4769,-0.0183,-0.7975
MACD_히스토_증가 + EMA7_골든크로스(20),2,86,0.4767,-0.0117,-0.777
MACD_히스토_증가 + 거래량_증가(1.5배),2,191,0.4764,-0.0005,-0.7086
MACD_히스토_증가 + EMA7_골든크로스(20) + OBV_SMA위,3,63,0.4762,-0.0164,-0.7643
RSI7_과매도(25이하) + BB_하단터치(2σ) + ADX14_강세(25이상),3,42,0.4762,-0.0143,-0.6409
BB_하단터치(2σ) + 거래량_증가(1.5배),2,21,0.4762,0.0151,0.1559
BB_하단터치(2σ) + BB_하단터치(1.5σ) + 거래량_증가(1.5배),3,21,0.4762,0.0151,0.1559
BB_하단터치(2σ) + BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),3,21,0.4762,0.0151,0.1559
MACD_히스토_증가 + STOCH14_골든크로스 + ADX14_강세(25이상),3,290,0.4759,0.0034,-0.4479
RSI21_과매도(30이하) + BB_하단터치(1.5σ),2,82,0.4756,0.0328,0.6225
RSI21_과매도(30이하) + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,82,0.4756,0.0328,0.6225
RSI21_과매도(30이하) + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,82,0.4756,0.0328,0.6225
RSI7_과매도(25이하) + RSI21_과매도(30이하) + MACD_히스토_증가,3,61,0.4754,0.0553,7.19
RSI14_과매도(30이하) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,80,0.475,0.0136,0.2433
RSI21_과매도(30이하) + MACD_히스토_증가 + STOCH21_과매도(20이하),3,158,0.4747,0.0238,7.2711
RSI14_과매도(35이하) + 가격_SMA200_위 + BB_%B_과매도(0.2이하),3,97,0.4742,-0.0119,-0.8958
MACD_히스토_증가 + STOCH14_골든크로스,2,422,0.4739,0.0039,-0.7369
RSI14_과매도(35이하) + RSI21_과매도(30이하) + BB_%B_과매도(0.2이하),3,114,0.4737,0.0372,3.0401
RSI14_과매도(35이하) + STOCH14_과매도(20이하) + OBV_SMA위,3,38,0.4737,0.007,0.0161
RSI14_과매도(35이하) + RSI21_과매도(30이하) + STOCH14_과매도(20이하),3,148,0.473,0.0329,4.7101
MACD_히스토_증가 + SMA20_골든크로스(50) + 가격_SMA200_위,3,74,0.473,-0.0118,-0.6716
가격_SMA200_위 + BB_%B_중간반등 + OBV_SMA위,3,129,0.4729,-0.0038,-0.6465
MACD_히스토_증가 + 가격_SMA200_위,2,808,0.4728,0.0012,-0.9631
MACD_히스토_증가 + SMA20_골든크로스(50) + 가격_SMA50_위,3,91,0.4725,0.0035,-0.1149
MACD_히스토_증가 + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,523,0.4723,-0.0005,-0.9568
RSI14_중립반등(40~50) + MACD_히스토_증가,2,307,0.4723,-0.005,-0.9774
RSI21_과매도(30이하) + MACD_히스토_증가 + BB_%B_과매도(0.2이하),3,72,0.4722,0.0372,3.8368
가격_SMA50_위 + ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),3,161,0.472,-0.0034,-0.7725
RSI21_과매도(30이하) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,125,0.472,0.0364,4.4463
RSI14_중립반등(40~50) + BB_%B_중간반등 + OBV_SMA위,3,106,0.4717,0.0135,1.1014
RSI14_과매도(35이하) + MACD_히스토_증가 + BB_하단터치(1.5σ),3,53,0.4717,0.019,0.6902
MACD_히스토_증가 + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,104,0.4712,0.0177,1.4839
MACD_히스토_증가 + 가격_SMA200_위 + 가격_SMA50_위,3,588,0.4711,-0.0016,-0.9828
RSI21_과매도(30이하) + STOCH21_과매도(20이하),2,225,0.4711,0.0238,5.6768
SMA20_골든크로스(50) + ADX14_강세(25이상),2,102,0.4706,-0.0092,-0.8313
SMA20_골든크로스(50) + 가격_SMA200_위 + ADX14_강세(25이상),3,51,0.4706,-0.0187,-0.6758
EMA7_골든크로스(20) + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,51,0.4706,-0.0115,-0.6111
RSI14_과매도(30이하) + BB_하단터치(1.5σ) + STOCH14_골든크로스,3,34,0.4706,-0.0105,-0.4968
RSI14_과매도(30이하) + STOCH21_과매도(20이하) + OBV_SMA위,3,34,0.4706,0.0001,-0.1336
RSI7_과매도(25이하) + 가격_SMA200_위 + BB_하단터치(1.5σ),3,66,0.4697,-0.0152,-0.8432
가격_SMA50_위 + 거래량_증가(1.5배) + OBV_SMA위,3,147,0.4694,-0.0076,-0.8649
가격_SMA200_위 + 가격_SMA50_위 + 거래량_증가(1.5배),3,145,0.469,-0.0074,-0.8117
STOCH14_골든크로스 + STOCH21_과매도(20이하),2,177,0.4689,0.0104,0.4186
RSI14_과매도(30이하) + ADX14_강세(25이상) + OBV_SMA위,3,32,0.4688,-0.0005,-0.1364
SMA20_골든크로스(50) + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,62,0.4677,-0.01,-0.7227
RSI21_과매도(30이하) + MACD_히스토_증가 + STOCH14_과매도(20이하),3,107,0.4673,0.0321,6.6107
RSI14_중립반등(40~50) + MACD_히스토_증가 + 가격_SMA200_위,3,137,0.4672,-0.0025,-0.5531
MACD_히스토_증가 + SMA20_골든크로스(50) + 거래량_증가(1.5배),3,30,0.4667,0.0176,0.2145
MACD_히스토_증가 + SMA20_골든크로스(50) + ADX14_강세(25이상),3,88,0.4659,-0.014,-0.868
RSI21_과매도(30이하) + BB_%B_과매도(0.2이하),2,131,0.4656,0.0318,2.5621
BB_하단터치(2σ) + ADX14_강세(25이상),2,71,0.4648,-0.0173,-0.8223
RSI14_중립반등(40~50) + BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),3,71,0.4648,-0.0029,-0.4334
BB_하단터치(2σ) + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,71,0.4648,-0.0173,-0.8223
BB_하단터치(2σ) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,71,0.4648,-0.0173,-0.8223
BB_하단터치(2σ) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,71,0.4648,-0.0173,-0.8223
RSI21_과매도(30이하) + STOCH14_과매도(20이하),2,170,0.4647,0.0297,5.3751
RSI14_과매도(35이하) + 가격_SMA200_위 + STOCH21_과매도(20이하),3,127,0.4646,-0.0116,-0.9293
MACD_히스토_증가 + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,84,0.4643,0.0182,0.9539
RSI14_과매도(35이하) + BB_하단터치(1.5σ) + 거래량_증가(1.5배),3,28,0.4643,-0.0095,-0.3292
SMA20_골든크로스(50) + 거래량_증가(1.5배) + OBV_SMA위,3,28,0.4643,0.0145,0.0803
RSI21_과매도(30이하) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,207,0.4638,0.0287,14.0595
EMA7_골든크로스(20) + 가격_SMA50_위,2,69,0.4638,-0.0092,-0.6564
RSI14_과매도(30이하) + 가격_SMA200_위 + STOCH21_과매도(20이하),3,69,0.4638,-0.0189,-0.8813
MACD_히스토_증가 + EMA7_골든크로스(20) + 가격_SMA50_위,3,69,0.4638,-0.0092,-0.6564
가격_SMA200_위 + 거래량_증가(1.5배) + OBV_SMA위,3,123,0.4634,-0.0127,-0.8684
RSI14_과매도(30이하) + STOCH14_골든크로스,2,82,0.4634,0.012,0.1159
RSI14_과매도(30이하) + RSI14_과매도(35이하) + STOCH14_골든크로스,3,82,0.4634,0.012,0.1159
ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배) + OBV_SMA위,3,162,0.463,0.0065,-0.3946
RSI7_과매도(25이하) + 가격_SMA200_위 + STOCH21_과매도(20이하),3,108,0.463,-0.0175,-0.9484
RSI14_과매도(30이하) + STOCH14_골든크로스 + ADX14_강세(25이상),3,67,0.4627,0.008,-0.0652
가격_SMA50_위 + BB_%B_중간반등 + OBV_SMA위,3,145,0.4621,0.0014,-0.3801
RSI21_과매도(30이하) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,169,0.4615,0.0294,4.8668
RSI21_과매도(30이하) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,130,0.4615,0.0314,2.2781
RSI14_중립반등(40~50) + 가격_SMA200_위 + 가격_SMA50_위,3,163,0.4601,-0.002,-0.6231
SMA20_골든크로스(50) + 가격_SMA50_위 + ADX14_강세(25이상),3,50,0.46,-0.0095,-0.5023
STOCH14_과매도(20이하) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,148,0.4595,0.011,0.2959
가격_SMA200_위 + ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),3,135,0.4593,-0.009,-0.8243
STOCH14_과매도(20이하) + STOCH14_골든크로스,2,159,0.4591,0.0106,0.3236
RSI14_중립반등(40~50) + MACD_히스토_증가 + 가격_SMA50_위,3,120,0.4583,-0.008,-0.9136
RSI14_과매도(30이하) + BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),3,24,0.4583,-0.0174,-0.4499
SMA20_골든크로스(50) + STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI),3,59,0.4576,0.0105,0.3695
SMA20_골든크로스(50) + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,57,0.4561,-0.0078,-0.4497
MACD_히스토_증가 + 가격_SMA50_위 + BB_%B_중간반등,3,110,0.4545,-0.0074,-0.8265
RSI21_과매도(30이하) + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,66,0.4545,0.0492,2.5271
RSI21_과매도(30이하) + STOCH21_과매도(20이하) + OBV_SMA위,3,33,0.4545,0.0066,0.0676
RSI14_중립반등(40~50) + RSI21_과매도(30이하) + ADX14_강세(25이상),3,22,0.4545,-0.0052,-0.1798
RSI14_중립반등(40~50) + 가격_SMA50_위,2,240,0.4542,-0.0055,-0.9807
RSI21_과매도(30이하) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,152,0.4539,0.0371,13.379
STOCH14_골든크로스 + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,119,0.4538,0.0072,-0.0245
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,86,0.4535,0.0088,0.1103
MACD_골든크로스 + ADX14_추세상승(+DI>-DI),2,64,0.4531,0.0018,-0.288
MACD_히스토_전환(+) + ADX14_추세상승(+DI>-DI),2,64,0.4531,0.0018,-0.288
MACD_골든크로스 + MACD_히스토_전환(+) + ADX14_추세상승(+DI>-DI),3,64,0.4531,0.0018,-0.288
MACD_골든크로스 + MACD_히스토_증가 + ADX14_추세상승(+DI>-DI),3,64,0.4531,0.0018,-0.288
MACD_히스토_전환(+) + MACD_히스토_증가 + ADX14_추세상승(+DI>-DI),3,64,0.4531,0.0018,-0.288
RSI21_과매도(30이하) + STOCH14_골든크로스,2,53,0.4528,0.0102,0.1596
RSI14_과매도(35이하) + 가격_SMA200_위 + STOCH14_과매도(20이하),3,115,0.4522,-0.0148,-0.9415
RSI7_과매도(25이하) + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,93,0.4516,0.0075,-0.1096
RSI21_과매도(30이하) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,31,0.4516,0.0041,0.0157
RSI7_과매도(25이하) + STOCH14_골든크로스,2,113,0.4513,0.0032,-0.4227
RSI21_과매도(30이하) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,113,0.4513,0.0421,7.0343
RSI14_과매도(30이하) + RSI21_과매도(30이하) + BB_하단터치(2σ),3,20,0.45,-0.0545,-0.7733
MACD_골든크로스 + SMA20_골든크로스(50) + OBV_SMA위,3,20,0.45,-0.0051,-0.2026
MACD_히스토_전환(+) + SMA20_골든크로스(50) + OBV_SMA위,3,20,0.45,-0.0051,-0.2026
