조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
ADX14_강세(25이상) + 거래량_급증(2배이상) + 거래량_증가(1.5배),3,56,0.5714,0.0288,2.1196
RSI21_과매도(30이하) + OBV_SMA위,2,42,0.5714,0.0252,1.3746
RSI21_과매도(30이하) + ADX14_강세(25이상) + OBV_SMA위,3,42,0.5714,0.0252,1.3746
가격_SMA200_위 + 거래량_급증(2배이상) + OBV_SMA위,3,28,0.5714,0.0089,0.1659
RSI14_중립반등(40~50) + MACD_골든크로스 + OBV_SMA위,3,21,0.5714,-0.007,-0.1925
RSI14_중립반등(40~50) + MACD_히스토_전환(+) + OBV_SMA위,3,21,0.5714,-0.007,-0.1925
가격_SMA200_위 + STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI),3,207,0.57,0.016,9.5246
STOCH14_과매도(20이하) + OBV_SMA위,2,100,0.57,0.0274,5.7777
MACD_골든크로스 + ADX14_강세(25이상),2,65,0.5692,0.0203,1.6324
MACD_히스토_전환(+) + ADX14_강세(25이상),2,65,0.5692,0.0203,1.6324
MACD_골든크로스 + MACD_히스토_전환(+) + ADX14_강세(25이상),3,65,0.5692,0.0203,1.6324
MACD_골든크로스 + MACD_히스토_증가 + ADX14_강세(25이상),3,65,0.5692,0.0203,1.6324
MACD_히스토_전환(+) + MACD_히스토_증가 + ADX14_강세(25이상),3,65,0.5692,0.0203,1.6324
MACD_히스토_증가 + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,167,0.5689,0.042,165.2492
BB_하단터치(1.5σ) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,51,0.5686,0.0108,0.2776
가격_SMA50_위 + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,81,0.5679,0.011,0.8668
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,67,0.5672,0.0104,0.34
RSI14_중립반등(40~50) + SMA20_골든크로스(50),2,60,0.5667,0.0242,2.1017
STOCH14_과매도(20이하) + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,46,0.5652,0.0239,1.5291
RSI14_과매도(30이하) + RSI21_과매도(30이하) + BB_하단터치(1.5σ),3,55,0.5636,0.0626,3.0484
MACD_히스토_증가 + BB_%B_중간반등 + STOCH14_골든크로스,3,55,0.5636,0.0124,0.6399
RSI14_중립반등(40~50) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,32,0.5625,0.0171,0.5442
RSI7_과매도(25이하) + MACD_히스토_증가 + ADX14_강세(25이상),3,114,0.5614,0.0463,43.8724
STOCH14_골든크로스 + ADX14_강세(25이상) + 거래량_증가(1.5배),3,57,0.5614,0.0075,0.276
RSI14_중립반등(40~50) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,139,0.5612,0.0193,4.8299
BB_%B_중간반등 + STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI),3,50,0.56,0.0168,0.9282
RSI14_과매도(35이하) + RSI7_과매도(25이하) + 거래량_증가(1.5배),3,25,0.56,0.0063,0.0153
RSI14_과매도(35이하) + 가격_SMA50_위 + ADX14_강세(25이상),3,25,0.56,0.0155,0.31
STOCH21_과매도(20이하) + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,25,0.56,0.0499,1.8739
가격_SMA50_위 + ADX14_강세(25이상) + 거래량_급증(2배이상),3,34,0.5588,0.01,0.2571
ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상),3,34,0.5588,0.038,1.4041
가격_SMA200_위 + STOCH14_골든크로스 + OBV_SMA위,3,197,0.5584,0.0159,8.1626
BB_하단터치(1.5σ) + 거래량_증가(1.5배),2,52,0.5577,0.008,0.1047
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),3,52,0.5577,0.008,0.1047
