direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
LONG,atr7 > 0.0192 AND atr7 > 0.02813 AND lower_shadow > 0.5368 AND aroon_14 ≤ -0.39286,96.9,32,1.26,76.9,XRPUSDT,4h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 > 0.01427 AND fractal_high > 0.5 AND upper_shadow ≤ 0.20657,96.9,194,1.4,69.0,ADAUSDT,5m
LONG,atr7 ≤ 0.02397 AND hh ≤ 0.5 AND dxy_ret5d ≤ -0.00048 AND vol_24 ≤ 0.00897 AND roc_21 > -0.01309,96.9,64,1.24,78.0,ETHUSDT,4h
SHORT,upper_shadow ≤ 0.32765 AND vs_low_20 > 0.00428 AND atr ≤ 0.00392 AND htf_1h_bb_pos_20 ≤ -0.90247,96.9,32,1.4,69.3,SOLUSDT,5m
SHORT,vol_48 > 0.01095 AND htf_4h_rsi_14 ≤ 0.34293 AND htf_4h_atr ≤ 0.05397 AND stoch_d_14 > 0.30788,96.8,31,1.4,69.1,ADAUSDT,1h
SHORT,vol_48 ≤ 0.01701 AND stoch_d_14 ≤ 0.8824 AND htf_4h_adx > 0.29259 AND vol_ratio_12 > 1.78805 AND htf_4h_adx > 0.48891,96.7,30,1.4,69.0,ETHUSDT,1h
LONG,vs_sma24 ≤ -0.04798 AND vs_sma12 ≤ -0.04667,96.6,88,1.41,68.5,XRPUSDT,1h
LONG,htf_1h_atr > 0.03925 AND inside_bar ≤ 0.5 AND roc_21 ≤ -0.08053,96.6,89,1.35,71.3,SOLUSDT,5m
LONG,atr7 > 0.02182 AND vol_ratio_12 > 0.40166 AND force_idx ≤ -0.22287 AND ret_accel_12 ≤ 0.19152 AND vol_ratio_12 ≤ 2.11422,96.5,400,1.15,84.2,SOLUSDT,4h
SHORT,vol_ratio_12 > 0.63766 AND vol_ratio_48 > 1.67297 AND lr_dev_20 ≤ 1.42239 AND ret_std_60 ≤ 0.00975 AND fractal_high > 0.5,96.3,27,1.3,74.0,BTCUSDT,4h
LONG,vol_48 ≤ 0.00645 AND ret_std_60 ≤ 0.00616 AND cmf_21 ≤ 0.10071 AND mfi_14 > 0.30095 AND ichi_tk ≤ -0.00061,96.2,26,1.26,76.4,BNBUSDT,4h
SHORT,atr7 > 0.01788 AND vs_sma48 ≤ -0.04843 AND vs_s3 > 1.70815 AND vs_s3 > 2.23988,96.2,26,1.28,75.0,BNBUSDT,4h
SHORT,hour_cos > 0.0 AND atr28 > 0.02771 AND rvi > 0.12676 AND lr_slope_10 > 0.00494,96.2,26,1.23,78.1,ETHUSDT,4h
LONG,atr7 ≤ 0.0192 AND vol_ratio_24 > 1.25728 AND skew_24 ≤ 0.47828 AND hma_55_slope > -0.00422,96.2,53,1.25,76.9,XRPUSDT,4h
LONG,atr7 ≤ 0.02397 AND hh > 0.5 AND rsi_21_slope ≤ 16.41552 AND kurt_24 ≤ 1.22611 AND bb_pos_48 > 0.91459,96.0,25,1.23,78.0,ETHUSDT,4h
SHORT,atr7 > 0.01788 AND vs_sma48 > -0.04843 AND vol_ratio_12 ≤ 0.69291 AND ret_24 > 0.11666,96.0,25,1.28,75.0,BNBUSDT,4h
LONG,vol_48 > 0.00645 AND ret_std_6 > 0.01424 AND stoch_kd_14 ≤ -0.06426,95.9,146,1.26,76.4,BNBUSDT,4h
SHORT,ret_1 > 0.01203 AND htf_4h_cmf_14 ≤ 0.16413 AND vix_ret5d > -0.03544 AND htf_4h_ema50_vs_200 > -0.12887 AND vs_sma96 > 0.08352,95.7,46,1.38,69.3,XRPUSDT,1h
SHORT,atr ≤ 0.02002 AND aroon_14 ≤ -0.67857 AND vs_r3 > -2.4148,95.6,68,1.21,78.9,XRPUSDT,4h
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c > -0.0015 AND htf_4h_atr > 0.04876,95.5,44,1.1,86.5,XRPUSDT,5m
SHORT,atr > 0.02002 AND inside_bar ≤ 0.5 AND atr7 > 0.02628 AND upper_shadow ≤ 0.45254 AND chop_14 > 0.31482,95.4,307,1.21,78.9,XRPUSDT,4h
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope > 0.0044 AND htf_4h_rsi_14 ≤ 0.47535 AND cmf_21 > 0.06218,95.2,63,1.36,70.3,ETHUSDT,5m
LONG,atr > 0.02262 AND ret_6 > -0.02564 AND body_ratio > 0.4133 AND atr > 0.03451,95.1,41,1.45,65.5,ETHUSDT,1h
SHORT,atr7 > 0.02152 AND vol_ratio_12 > 0.45059 AND stoch_d_9 > 0.41492 AND vpt_vs_ma24 ≤ 1.08673 AND obv_slope2 ≤ -0.02848,95.1,426,1.17,81.2,ADAUSDT,4h
SHORT,atr7 ≤ 0.02152 AND ret_std_60 > 0.01059 AND hour_cos ≤ 0.0 AND dow_sin > -0.21694 AND lr_slope_20 > -0.00205,95.1,142,1.17,81.2,ADAUSDT,4h
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c ≤ -0.0015 AND cmf_14 > -0.19843 AND fisher_9_signal > -0.93358,95.0,180,1.1,86.5,XRPUSDT,5m
LONG,lower_shadow ≤ 0.55941 AND vol_12 ≤ 0.00289 AND htf_1h_rsi_14 > 0.49488 AND vs_sma288 ≤ 0.00685 AND htf_1h_rsi_14 > 0.5145,95.0,120,1.35,70.3,ADAUSDT,5m
SHORT,ret_1 > 0.01203 AND htf_4h_cmf_14 > 0.16413 AND vol_ratio_12 > 1.98138 AND stoch_d_14 > 0.81221,94.9,39,1.37,69.3,XRPUSDT,1h
LONG,atr28 > 0.01825 AND vol_ratio_24 > 0.45177 AND vol_ratio_24 > 1.16109 AND lower_shadow ≤ 0.60381 AND skew_24 ≤ 0.56568,94.8,383,1.18,80.0,ADAUSDT,4h
LONG,atr > 0.02665 AND vol_288 > 0.00952 AND gold_vs_ma > -0.01096 AND ha_body_ratio > 0.18644 AND rsi_6 > 0.62978,94.7,38,1.28,74.0,BTCUSDT,4h
LONG,atr7 > 0.0192 AND atr7 > 0.02813 AND lower_shadow ≤ 0.5368 AND hma_55_slope > -0.00721 AND adx_slope ≤ 0.11673,94.6,333,1.23,76.9,XRPUSDT,4h
SHORT,vol_ratio_96 ≤ 0.9553 AND fractal_high ≤ 0.5 AND atr > 0.03455 AND vol_288 > 0.02046 AND upper_shadow ≤ 0.29347,94.2,137,1.15,82.2,SOLUSDT,4h
LONG,vol_48 > 0.00645 AND ret_std_6 ≤ 0.01424 AND elder_bull_slope > 0.02289,94.1,68,1.23,76.4,BNBUSDT,4h
SHORT,ret_1 ≤ 0.01203 AND bb_width_48 ≤ 0.21479 AND htf_4h_rsi_14 ≤ 0.82306 AND stoch_d_24 > 0.87018 AND ret_24 > 0.04982,94.1,51,1.36,69.3,XRPUSDT,1h
SHORT,atr > 0.02002 AND inside_bar ≤ 0.5 AND atr7 > 0.02628 AND upper_shadow > 0.45254 AND bb_width_14 > 0.0985,94.0,50,1.19,78.9,XRPUSDT,4h
SHORT,atr7 > 0.02152 AND vol_ratio_12 ≤ 0.45059 AND vs_high_20 ≤ -0.05548 AND rsi_6 > 0.48534,93.9,33,1.16,81.2,ADAUSDT,4h
LONG,vol_48 > 0.00778 AND ret_1 > -0.01114 AND vs_sma288 > -0.21364 AND htf_4h_rsi_14 > 0.50095 AND ema9_vs_21 ≤ 0.005,93.8,32,1.38,67.7,BNBUSDT,1h
SHORT,atr7 > 0.01788 AND vs_sma48 > -0.04843 AND vol_ratio_12 > 0.69291 AND obv_slope2 ≤ -0.08553 AND rvi_signal ≤ 0.37032,93.8,161,1.25,75.0,BNBUSDT,4h
LONG,atr > 0.02158 AND vs_sma96 ≤ -0.13803,93.8,113,1.35,69.7,ADAUSDT,1h
LONG,atr ≤ 0.00605 AND lower_shadow > 0.13479 AND rsi_21_slope ≤ -3.10252 AND atr7 ≤ 0.00572 AND htf_4h_vol_ratio_24 > 0.97008,93.8,48,1.15,81.5,ETHUSDT,5m
LONG,atr ≤ 0.02665 AND vol_ratio_24 ≤ 0.99918 AND vs_pivot ≤ -0.2747 AND fisher_9_signal > -0.31959 AND skew_96 ≤ 0.75384,93.7,95,1.27,74.0,BTCUSDT,4h
SHORT,upper_shadow ≤ 0.23274 AND hl_vol > 0.0033 AND vol_24 ≤ 0.00465 AND bb_pos_20 > -0.1616 AND vol_slope ≤ 0.19939,93.5,123,1.26,74.3,XRPUSDT,5m
LONG,vol_48 > 0.00778 AND ret_1 > -0.01114 AND vs_sma288 ≤ -0.21364,93.5,31,1.38,67.7,BNBUSDT,1h
LONG,atr7 ≤ 0.02397 AND hh ≤ 0.5 AND dxy_ret5d > -0.00048 AND vol_slope ≤ 1.84904 AND force_idx ≤ -30.75901,93.3,45,1.2,78.0,ETHUSDT,4h
LONG,atr ≤ 0.02274 AND htf_4h_cmf_14 > 0.0563 AND stoch_k_24 ≤ 0.58499 AND htf_4h_rsi_14 > 0.42589 AND vol_96 ≤ 0.01283,93.3,75,1.33,70.2,SOLUSDT,1h
SHORT,hour_cos ≤ 0.0 AND hl_vol > 0.00876 AND vol_6 ≤ 0.01545 AND skew_24 ≤ 0.31531 AND bb_width_14 ≤ 0.05478,92.8,194,1.19,78.1,ETHUSDT,4h
SHORT,vol_ratio_12 > 0.63766 AND vol_ratio_48 ≤ 1.67297 AND atr28 > 0.02079 AND sp500_ret20d > -0.02171 AND vix_low ≤ 0.5,92.8,152,1.25,74.0,BTCUSDT,4h
SHORT,atr7 ≤ 0.02152 AND ret_std_60 ≤ 0.01059 AND ret_accel_5 > -0.00107 AND stoch_kd_14 > -0.07976 AND bb_width_48 ≤ 0.08335,92.7,82,1.14,81.2,ADAUSDT,4h
SHORT,htf_4h_vs_sma96 ≤ -0.08082 AND rsi_24_slope ≤ 7.81161 AND ret_3 ≤ -0.0024 AND stoch_k_24 ≤ 0.18727,92.6,27,1.43,64.6,BTCUSDT,1h
LONG,atr7 > 0.02397 AND session_europe ≤ 0.5 AND atr28 > 0.03214 AND vpt_vs_ma24 > 0.14733 AND fg_change_30d ≤ -7.0,92.6,27,1.19,78.0,ETHUSDT,4h
LONG,atr ≤ 0.02665 AND vol_ratio_24 ≤ 0.99918 AND vs_pivot > -0.2747 AND session_europe ≤ 0.5 AND vs_sma288 ≤ -0.16352,92.3,26,1.25,74.0,BTCUSDT,4h
SHORT,vol_24 ≤ 0.01782 AND ret_1 > 0.01752 AND body_ratio > 0.55172 AND vs_sma24 > 0.06555,92.3,78,1.36,67.9,SOLUSDT,1h
LONG,atr28 > 0.01825 AND vol_ratio_24 ≤ 0.45177 AND kurt_24 ≤ 1.11374 AND rsi_6_slope ≤ 2.48407,92.3,52,1.15,80.0,ADAUSDT,4h
SHORT,ret_1 ≤ 0.01203 AND bb_width_48 > 0.21479 AND obv_slope ≤ 0.09815 AND hour_cos > -0.37941 AND htf_4h_vol_ratio_24 > 1.24531,92.3,26,1.33,69.3,XRPUSDT,1h
LONG,atr ≤ 0.02665 AND vol_ratio_24 > 0.99918 AND ha_body_ratio > 0.13325 AND adx ≤ 0.40907 AND ha_body_ratio ≤ 0.53416,92.2,103,1.25,74.0,BTCUSDT,4h
SHORT,atr > 0.02002 AND inside_bar > 0.5 AND bb_width_14 > 0.06553 AND fg_ma14 ≤ 0.07992 AND lr_dev_50 > -0.95987,92.0,112,1.17,78.9,XRPUSDT,4h
SHORT,atr7 ≤ 0.02152 AND ret_std_60 > 0.01059 AND hour_cos > 0.0 AND atr7 ≤ 0.02054 AND vol_slope ≤ -0.42455,91.9,62,1.13,81.2,ADAUSDT,4h
LONG,htf_1h_atr > 0.03925 AND inside_bar ≤ 0.5 AND roc_21 > -0.08053 AND vs_sma48 > -0.04171 AND ret_accel_5 > 0.01528,91.5,213,1.28,71.3,SOLUSDT,5m
LONG,vol_48 > 0.00778 AND ret_1 ≤ -0.01114 AND vs_sma12 > -0.02224 AND vol_12 > 0.0166,91.3,46,1.35,67.7,BNBUSDT,1h
SHORT,upper_shadow > 0.32765 AND bb_width_14 > 0.04097 AND hma_9_slope ≤ 0.01095 AND vix > 30.66,91.3,69,1.32,69.3,SOLUSDT,5m
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c ≤ -0.0015 AND cmf_14 ≤ -0.19843 AND vs_s3 ≤ -0.34739,90.9,33,1.05,86.5,XRPUSDT,5m
SHORT,htf_4h_atr ≤ 0.03371 AND vs_sma96 > 0.05712 AND vol_96 ≤ 0.01063 AND vol_288 ≤ 0.00861 AND bb_width_20 > 0.08223,90.9,55,1.4,64.8,BNBUSDT,1h
SHORT,atr7 > 0.02152 AND vol_ratio_12 > 0.45059 AND stoch_d_9 ≤ 0.41492 AND lr_slope_10 ≤ -0.00147 AND vs_sma576 > -0.09332,90.8,240,1.12,81.2,ADAUSDT,4h
LONG,atr > 0.02274 AND ret_3 > -0.0258 AND obv_slope > -0.20807 AND htf_4h_rsi_14 > 0.44427 AND rsi_24 ≤ 0.50374,90.8,173,1.29,70.2,SOLUSDT,1h
SHORT,vol_48 ≤ 0.01095 AND htf_4h_bb_pos_20 ≤ 1.32117 AND gap > -0.00032 AND ret_1 > 0.01607 AND bb_width_48 ≤ 0.11305,90.6,64,1.31,69.1,ADAUSDT,1h
SHORT,htf_4h_vs_sma96 > -0.08082 AND vol_24 > 0.00644 AND vs_sma288 > -0.04262 AND vol_ratio_12 > 1.25501 AND vol_ratio_12 ≤ 1.65452,90.6,32,1.4,64.6,BTCUSDT,1h
LONG,atr7 > 0.0192 AND atr7 ≤ 0.02813 AND hour_cos ≤ 0.0 AND vs_sma96 ≤ 0.08441 AND obv_slope ≤ 0.0444,90.6,255,1.18,76.9,XRPUSDT,4h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 > 0.01427 AND fractal_high ≤ 0.5 AND bb_width_20 > 0.08003,90.4,52,1.31,69.0,ADAUSDT,5m
LONG,atr > 0.00605 AND ret_2 ≤ -0.00186 AND ret_288 ≤ -0.02874 AND lr_dev_10 > -1.26739 AND lr_dev_10 > -0.05749,90.3,31,1.11,81.5,ETHUSDT,5m
LONG,atr > 0.02274 AND ret_3 ≤ -0.0258 AND body_ratio > 0.09581 AND vs_sma48 > -0.1045 AND htf_4h_rsi_14 > 0.40128,90.3,226,1.29,70.2,SOLUSDT,1h
SHORT,vol_ratio_96 > 0.9553 AND dxy_ret1d > -0.00077 AND bb_width_14 ≤ 0.12025 AND vol_288 > 0.01283 AND vs_s2 ≤ 2.34655,90.2,378,1.1,82.2,SOLUSDT,4h
SHORT,vol_24 > 0.01782 AND htf_4h_atr > 0.04038 AND htf_4h_ema50_vs_200 ≤ 0.20916 AND htf_4h_ema50_vs_200 > -0.27253,90.1,323,1.33,67.9,SOLUSDT,1h
LONG,atr7 ≤ 0.02397 AND hh ≤ 0.5 AND dxy_ret5d ≤ -0.00048 AND vol_24 > 0.00897 AND ret_288 > 0.21556,89.8,59,1.15,78.0,ETHUSDT,4h
LONG,atr ≤ 0.02665 AND vol_ratio_24 > 0.99918 AND ha_body_ratio ≤ 0.13325 AND stoch_kd_9 ≤ -0.19827,89.8,49,1.21,74.0,BTCUSDT,4h
LONG,lower_shadow ≤ 0.55941 AND vol_12 > 0.00289 AND fractal_low ≤ 0.5 AND atr28 > 0.01355 AND chop_28 ≤ 0.49185,89.7,68,1.28,70.3,ADAUSDT,5m
SHORT,atr > 0.02002 AND inside_bar ≤ 0.5 AND atr7 ≤ 0.02628 AND dxy_ret5d > -0.00233 AND hma_21_slope > -0.0071,89.6,250,1.14,78.9,XRPUSDT,4h
SHORT,upper_shadow ≤ 0.32765 AND vs_low_20 ≤ 0.00428 AND hma_55_vs_c > 0.00033,89.3,28,1.29,69.3,SOLUSDT,5m
SHORT,upper_shadow > 0.32765 AND bb_width_14 ≤ 0.04097 AND htf_1h_rsi_14 ≤ 0.59237 AND vs_sma200 > 0.01168 AND upper_shadow ≤ 0.59412,89.2,139,1.29,69.3,SOLUSDT,5m
SHORT,upper_shadow > 0.35325 AND htf_1h_vs_sma96 ≤ -0.02983 AND vs_r3 ≤ -0.59218 AND htf_1h_rsi_14 > 0.21348 AND upper_shadow ≤ 0.56709,89.2,120,1.27,70.3,ETHUSDT,5m
SHORT,vol_ratio_12 ≤ 0.63766 AND atr > 0.02639,88.9,27,1.2,74.0,BTCUSDT,4h
LONG,atr > 0.02665 AND vol_288 ≤ 0.00952 AND vpt_slope > 0.26484,88.9,27,1.2,74.0,BTCUSDT,4h
SHORT,upper_shadow > 0.23274 AND vol_96 ≤ 0.00698 AND dc_pos_55 > 0.34662 AND htf_1h_cmf_14 ≤ 0.12587 AND force_idx ≤ 0.00167,88.6,105,1.19,74.3,XRPUSDT,5m
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope > 0.0044 AND htf_4h_rsi_14 > 0.47535 AND vs_sma96 > 0.03149,88.6,35,1.26,70.3,ETHUSDT,5m
LONG,atr7 > 0.0192 AND atr7 > 0.02813 AND lower_shadow ≤ 0.5368 AND hma_55_slope ≤ -0.00721 AND elder_bear ≤ -0.0272,88.5,148,1.15,76.9,XRPUSDT,4h
SHORT,vol_48 > 0.01701 AND vol_ratio_48 > 0.49581 AND vol_24 ≤ 0.02635 AND lower_shadow > 0.42721,88.5,26,1.28,69.0,ETHUSDT,1h
LONG,atr ≤ 0.02158 AND htf_4h_rsi_14 > 0.15781 AND vs_sma24 > -0.04925 AND htf_4h_rsi_14 > 0.66091 AND vs_sma48 ≤ 0.0518,88.5,87,1.27,69.7,ADAUSDT,1h
LONG,atr7 ≤ 0.0192 AND vol_ratio_24 ≤ 1.25728 AND vs_s2 > 0.70475 AND month_sin ≤ -0.25 AND chop_28 > 0.54193,88.2,34,1.15,76.9,XRPUSDT,4h
LONG,atr28 ≤ 0.01825 AND macd_12_26_sig > -0.00279 AND gold_ret20d ≤ 0.00941 AND adx > 0.23228 AND skew_96 > 0.36634,88.2,34,1.1,80.0,ADAUSDT,4h
LONG,atr ≤ 0.02262 AND bb_width_48 > 0.01788 AND gold_ret5d ≤ 0.00096 AND vs_sma12 ≤ -0.0439,88.1,42,1.34,65.5,ETHUSDT,1h
SHORT,upper_shadow > 0.32765 AND bb_width_14 > 0.04097 AND hma_9_slope > 0.01095,88.1,177,1.27,69.3,SOLUSDT,5m
SHORT,htf_4h_atr > 0.03371 AND hour_cos > -0.78657 AND htf_4h_bb_pos_20 ≤ 0.26128 AND stoch_d_14 > 0.19643 AND obv_slope > -0.13393,88.0,100,1.36,64.8,BNBUSDT,1h
SHORT,atr7 ≤ 0.01788 AND body_ratio > 0.65301 AND upper_shadow > 0.10128 AND kurt_24 > 1.54472,88.0,25,1.17,75.0,BNBUSDT,4h
LONG,atr > 0.02158 AND vs_sma96 > -0.13803 AND vol_ratio_48 > 0.40437 AND htf_4h_ema50_vs_200 > 0.015 AND ret_12 ≤ -0.0425,88.0,50,1.26,69.7,ADAUSDT,1h
LONG,atr28 > 0.01825 AND vol_ratio_24 > 0.45177 AND vol_ratio_24 ≤ 1.16109 AND vol_288 > 0.0161 AND gold_ret5d ≤ 0.0088,87.8,541,1.1,80.0,ADAUSDT,4h
LONG,atr > 0.02262 AND ret_6 > -0.02564 AND body_ratio > 0.4133 AND atr ≤ 0.03451 AND obv_slope ≤ 0.01448,87.8,49,1.34,65.5,ETHUSDT,1h
SHORT,vol_24 ≤ 0.01782 AND ret_1 > 0.01752 AND body_ratio > 0.55172 AND vs_sma24 ≤ 0.06555 AND htf_4h_adx ≤ 0.26635,87.7,73,1.29,67.9,SOLUSDT,1h
LONG,vol_48 > 0.00645 AND ret_std_6 > 0.01424 AND stoch_kd_14 > -0.06426 AND vs_r2 > -1.20348 AND adx ≤ 0.59445,87.6,314,1.15,76.4,BNBUSDT,4h
