date,sp500,nasdaq,gold,dxy,vix,us10y
2019-02-19,248.55897521972656,164.49169921875,1340.0999755859375,96.5199966430664,14.880000114440918,2.6470000743865967
2019-02-20,249.05990600585938,164.46310424804688,1343.300048828125,96.44999694824219,14.020000457763672,2.6540000438690186
2019-02-21,248.17428588867188,163.86154174804688,1323.5,96.61000061035156,14.460000038146973,2.687999963760376
2019-02-22,249.71299743652344,165.07415771484375,1329.199951171875,96.51000213623047,13.510000228881836,2.6549999713897705
2019-02-25,250.05288696289062,165.6756591796875,1325.9000244140625,96.41000366210938,14.850000381469727,2.6730000972747803
2019-02-26,249.87399291992188,165.8475341796875,1325.0999755859375,96.0,15.170000076293945,2.635999917984009
2019-02-27,249.76666259765625,165.7425079345703,1317.699951171875,96.1500015258789,14.699999809265137,2.693000078201294
2019-02-28,249.30148315429688,165.36061096191406,1312.800048828125,96.16000366210938,14.779999732971191,2.7109999656677246
2019-03-01,250.85800170898438,166.5063934326172,1296.4000244140625,96.52999877929688,13.569999694824219,2.755000114440918
2019-03-04,249.94557189941406,166.53497314453125,1284.800048828125,96.68000030517578,14.630000114440918,2.7219998836517334
2019-03-05,249.6056365966797,166.65911865234375,1282.0,96.8499984741211,14.739999771118164,2.7219998836517334
2019-03-06,248.0937957763672,165.71385192871094,1284.9000244140625,96.87000274658203,15.739999771118164,2.691999912261963
2019-03-07,246.01834106445312,163.68017578125,1283.800048828125,97.66999816894531,16.59000015258789,2.635999917984009
2019-03-08,245.5263214111328,163.4319305419922,1297.0,97.37000274658203,16.049999237060547,2.625
2019-03-11,249.0868682861328,166.83099365234375,1288.800048828125,97.22000122070312,14.329999923706055,2.6429998874664307
2019-03-12,250.02606201171875,167.74757385253906,1296.300048828125,96.94000244140625,13.770000457763672,2.6050000190734863
2019-03-13,251.6811065673828,169.00791931152344,1307.5,96.55000305175781,13.40999984741211,2.6110000610351562
2019-03-14,251.52012634277344,168.72146606445312,1293.4000244140625,96.79000091552734,13.5,2.630000114440918
2019-03-15,252.76266479492188,170.28733825683594,1301.800048828125,96.5999984741211,12.880000114440918,2.5929999351501465
2019-03-18,253.67916870117188,170.69287109375,1300.300048828125,96.5199966430664,13.100000381469727,2.6019999980926514
2019-03-19,253.74208068847656,171.26683044433594,1305.0,96.37999725341797,13.5600004196167,2.614000082015991
