combo,lev,conc,n,max,p50,median,p_bust,mdd,tr,ho
나스닥 + BTC>MA200,3.0,10,605,65.14151031921273,1.4388489208633095,2.1914965912437943,0.0,24.465335774792706,172.34860201701167,8.163520244010009
나스닥 + BTC>MA200,3.0,7,605,57.82228170987417,0.7194244604316548,2.2722939921968983,0.0,28.891107471505293,205.02993897713577,6.626310842993431
나스닥 + BTC>MA200,3.0,5,605,66.92337796378759,2.158273381294964,2.4593766178628678,0.0,31.29073551907965,299.8133491587908,6.138311889999255
나스닥 + BTC>MA200,5.0,20,605,90.64562149019577,10.071942446043165,1.8650663875181315,0.0,20.49367857126456,269.85934958119503,4.998499213716989
나스닥 + BTC>MA200,5.0,10,605,140.3830947869253,3.597122302158273,3.408615271035433,0.0,39.97006500770416,192.44920888252315,25.33580179635683
나스닥 + BTC>MA200,5.0,7,605,142.32914400122388,1.4388489208633095,2.1249966506739724,0.0,42.1494652647714,16.474066224007117,6.975875475244263
나스닥 + BTC>MA200,5.0,5,605,192.65397733166745,1.4388489208633095,1.9058780264549022,0.0,50.02935801070443,23.037717080044743,6.496246820514664
나스닥 + BTC>MA200,8.0,20,605,469.2291194787788,15.827338129496402,2.150327921530399,12.23021582733813,30.252899538944,1584.7745314867925,-5.4196611085217175
나스닥 + BTC>MA200,8.0,10,605,736.1562120676766,4.316546762589928,3.9103265321407887,0.0,43.13748688401119,57.1109282933514,89.53389413508953
나스닥 + BTC>MA200,8.0,7,605,1156.5832165412417,2.877697841726619,1.4160359023012548,14.388489208633093,57.78696241914834,4.538619532121466,-4.4524143429729595
나스닥 + BTC>MA200,8.0,5,605,142.39870155244193,1.4388489208633095,0.6562769714263114,31.654676258992804,67.70055255311902,-0.04729183928273306,-6.170845377442765
