exit,size,lev,final,mdd,n,skip,wr,liq,cagr,yrs,mean
목표 ATR×3,2종목,2,12.054479362323118,0.5634816660703017,137,1784,62.04379562043796,0,32.898096175367655,8.752908966461328,5.184395469745896
목표 ATR×3,2종목,3,45.2133852151661,0.6735711007366119,137,1784,62.04379562043796,10,54.56476710578353,8.752908966461328,5.7075098249770395
목표 ATR×3,8종목,1,6.796021886916714,0.33398335766581677,423,324,63.829787234042556,0,24.475310990868813,8.752908966461328,3.9249692279712223
목표 ATR×3,8종목,2,57.22279439695126,0.5697769885632988,431,311,64.50116009280742,0,58.78090743831348,8.752908966461328,4.344246392260386
목표 ATR×3,8종목,3,1439.2967221992874,0.5909287614724921,435,319,65.74712643678161,29,129.51523243689263,8.752908966461328,5.225450993765773
목표 ATR×4,6종목,1,3.2995399670102192,0.48054525803922654,358,547,55.865921787709496,0,14.612536609799974,8.752908966461328,2.575315071328311
목표 ATR×4,6종목,2,26.381299559331765,0.6913038505940683,371,534,57.95148247978437,0,45.338229729599135,8.752908966461328,3.6770450326342417
목표 ATR×4,6종목,3,188.88198109959487,0.7745978401049433,369,550,57.72357723577236,26,81.99087209616644,8.752908966461328,4.096988175569257
목표 ATR×4,2종목,1,2.631982171784489,0.4151178522486706,130,1802,56.92307692307692,0,11.690535498500342,8.752908966461328,3.6803258891808865
목표 ATR×4,2종목,2,4.499170620587276,0.6845272558083417,130,1802,56.92307692307692,0,18.745976371373274,8.752908966461328,3.6803258891808865
목표 ATR×4,2종목,3,11.378333658420475,0.7918858693079762,130,1802,56.92307692307692,11,32.02451858172552,8.752908966461328,4.286736145591144
목표 ATR×4,8종목,1,4.668502763879354,0.38969086933354036,404,321,58.66336633663366,0,19.248253079413914,8.752908966461328,3.3485412965402306
목표 ATR×4,8종목,2,27.947700826813268,0.6148572347026189,410,310,59.512195121951216,0,46.2991356664167,8.752908966461328,3.848253048537541
목표 ATR×4,8종목,3,570.148791742575,0.6373454636313666,413,318,60.290556900726386,28,106.47401497556812,8.752908966461328,4.884587385864381
