entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2026-01-21 09:00:00,LONG,89156.86,88621.92,sl,3,3.8e-05,-0.007038,0,0.5867
2026-01-21 10:00:00,LONG,89293.61,88757.85,sl,1,1.3e-05,-0.007013,0,0.5873
2026-01-21 11:00:00,LONG,88834.38,88301.38,sl,1,1.3e-05,-0.007013,0,0.6046
2026-01-21 12:00:00,LONG,88780.68,89668.48,tp,2,2.5e-05,0.008975,1,0.6206
2026-01-21 13:00:00,LONG,88716.98,89604.15,tp,1,1.3e-05,0.008988,1,0.6251
2026-01-21 14:00:00,LONG,89850.33,89311.23,sl,2,2.5e-05,-0.007025,0,0.5813
2026-01-30 18:00:00,SHORT,83889.16,84392.5,sl,1,1.3e-05,-0.006977,0,0.5828
2026-02-12 09:00:00,SHORT,67516.69,67921.79,sl,1,1.3e-05,-0.006977,0,0.6173
2026-02-12 10:00:00,SHORT,67980.0,68387.88,sl,3,3.8e-05,-0.007002,0,0.6329
2026-02-12 11:00:00,SHORT,68041.97,67361.55,tp,4,5e-05,0.009051,1,0.6432
2026-02-12 12:00:00,SHORT,67831.38,68238.37,sl,1,1.3e-05,-0.006977,0,0.6601
2026-02-12 13:00:00,SHORT,68342.39,67658.97,tp,1,1.3e-05,0.009089,1,0.6663
2026-02-12 14:00:00,SHORT,67543.23,67948.49,sl,1,1.3e-05,-0.006977,0,0.6697
2026-02-12 15:00:00,SHORT,67101.17,66430.16,tp,1,1.3e-05,0.009089,1,0.6261
2026-02-18 00:00:00,LONG,67336.3,66932.28,sl,1,1.3e-05,-0.007013,0,0.633
2026-02-18 02:00:00,LONG,67368.71,68042.39,tp,5,6.3e-05,0.008938,1,0.5997
2026-02-18 03:00:00,LONG,67662.92,68339.55,tp,5,6.3e-05,0.008938,1,0.5853
2026-03-03 06:00:00,SHORT,68072.68,67391.95,tp,2,2.5e-05,0.009076,1,0.6184
2026-03-03 07:00:00,SHORT,68138.71,67457.33,tp,1,1.3e-05,0.009089,1,0.6176
2026-03-03 11:00:00,SHORT,66993.1,67395.06,sl,1,1.3e-05,-0.006977,0,0.5888
2026-03-03 12:00:00,SHORT,67366.15,66692.49,tp,1,1.3e-05,0.009089,1,0.6077
2026-03-09 00:00:00,LONG,66403.2,66004.78,sl,2,2.5e-05,-0.007025,0,0.5885
