symbol,interval,strategy,전체_수익률%,전체_CAGR%,MDD%,Sharpe,손익비,거래수,노출%,학습_CAGR%,홀드아웃_CAGR%,BH_수익률%,BH_CAGR%,BH_MDD%,BH_Sharpe,BH대비_CAGR차
BTCUSDT,1d,"Supertrend(10,3.0)",182.05548818970829,12.26679735516365,-67.3057099577998,0.5055442188550024,1.0835557544078998,82,99.17456435340874,29.068826897133725,-9.5195763192642,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-22.684761339501858
BTCUSDT,1d,"Supertrend(14,2.5)",358.99476073477194,18.535632404291015,-79.2397080564751,0.5867075526829935,1.0976272132652152,102,99.17456435340874,29.575046442591034,-2.130982071359977,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-16.415926290374493
BTCUSDT,1d,"Supertrend(7,2.0)",897.3481852816087,29.25816588682604,-75.4744804849887,0.7147989379693744,1.1198285223848021,134,99.54142464078264,37.37324507736473,16.943422640949724,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-5.69339280783947
BTCUSDT,1d,"Supertrend(20,3.0)",26.069981957018552,2.618798059735261,-88.9158512997677,0.3703417206520169,1.060412137622636,80,99.14399266279426,14.474867248783795,-18.10808107584053,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-32.332760634930246
ETHUSDT,1d,"Donchian(20,10)",60.47340304683166,5.41932810793202,-85.12184863248439,0.4601004296148925,1.0831796933978315,155,75.81779272393764,24.69244749024202,-21.58149897950733,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-17.089120660380953
ETHUSDT,1d,"Donchian(55,20)",741.2262863072821,26.82589739218171,-75.3528472085412,0.6925785149696095,1.144255397741428,75,61.47966982574137,36.04482928468094,11.528213438166768,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,4.317448623868736
ETHUSDT,1d,"Donchian(20,5)",203.12020944630137,13.172732650254337,-73.016866481581,0.5243288710689347,1.1096336750659739,205,58.88107612350964,23.885822333097305,-5.990919570861452,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-9.335716118058635
ETHUSDT,1d,"Donchian(40,15)",390.1924934035233,19.4086303177772,-80.75435531142018,0.6070765793277838,1.1212213966317166,97,65.69856313054112,38.6863456718531,-6.803353435339343,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-3.099818450535774
ETHUSDT,1d,"Donchian(100,25)",30.88969634988579,3.049310694904306,-81.00278150557476,0.37864699830426457,1.0842322643875408,50,49.312136961173955,10.552343089145833,-10.25328133921295,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-19.459138073408667
ETHUSDT,1d,"MA교차(10,50)",587.1801047395754,23.995498489093457,-90.77040237396672,0.6867977874151294,1.1120240374626316,78,98.47141546927544,26.77335889123851,13.46024499419709,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,1.4870497207804867
ETHUSDT,1d,"MA교차(20,100)",97.537377697565,7.892316903715213,-93.7005588729282,0.5209652384027151,1.0845720157934386,32,96.94283093855091,13.269890664815854,2.9095885218253237,516.7549668874173,22.508448768312974,-93.96550481981527,0.6736436679719827,-14.616131864597758
