entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2026-07-13 02:00:00,SHORT,76.44,75.68,tp,1,1.3e-05,0.009089,1,0.688
2026-07-13 04:00:00,SHORT,75.88,76.34,sl,1,1.3e-05,-0.006977,0,0.5808
2026-07-19 18:00:00,SHORT,75.71,76.17,sl,3,3.8e-05,-0.007002,0,0.6012
2026-07-19 19:00:00,SHORT,75.84,76.3,sl,3,3.8e-05,-0.007002,0,0.6022
2026-07-23 02:00:00,SHORT,77.72,76.94,tp,10,0.000125,0.008976,1,0.5802
2026-07-23 04:00:00,SHORT,77.49,76.72,tp,8,0.0001,0.009001,1,0.6017
2026-07-23 09:00:00,SHORT,77.45,76.68,tp,3,3.8e-05,0.009064,1,0.581
2026-07-23 12:00:00,SHORT,76.9,76.13,tp,3,3.8e-05,0.009064,1,0.6271
2026-07-23 13:00:00,SHORT,76.66,75.9,tp,2,2.5e-05,0.009076,1,0.641
2026-07-23 15:00:00,SHORT,76.35,75.59,tp,2,2.5e-05,0.009076,1,0.6008
2026-07-27 16:00:00,SHORT,75.91,75.15,tp,6,7.5e-05,0.009026,1,0.5854
2026-07-29 12:00:00,SHORT,73.48,73.92,sl,5,6.3e-05,-0.007027,0,0.5949
2026-07-29 14:00:00,SHORT,73.24,73.68,sl,3,3.8e-05,-0.007002,0,0.6139
2026-07-29 15:00:00,SHORT,73.08,73.52,sl,2,2.5e-05,-0.006989,0,0.5924
2026-07-30 01:00:00,LONG,74.06,73.61,sl,3,3.8e-05,-0.007038,0,0.6145
2026-07-30 02:00:00,LONG,73.87,73.42,sl,3,3.8e-05,-0.007038,0,0.6194
2026-07-30 08:00:00,LONG,73.85,74.59,tp,5,6.3e-05,0.008938,1,0.5975
2026-07-30 09:00:00,LONG,74.09,74.83,tp,4,5e-05,0.00895,1,0.6115
2026-07-30 10:00:00,LONG,73.94,74.68,tp,3,3.8e-05,0.008963,1,0.5835
