tf,side,H,cond,feat,n_tr,wr_tr,n_ho,wr_ho,base_ho,edge,wl,mean,mfe_med,mfe_p90
1h,LONG,1,vs_ma50 <= -4.873,vs_ma50,2741,48.41298796059832,341,54.83870967741935,35.62739259889408,19.21131707852527,41.67302992830864,0.03779613,0.6654954552650452,1.8497958183288574
1h,LONG,3,range_pct >= 2.134,range_pct,5487,49.790413705121196,557,51.8850987432675,41.54330440701038,10.341794336257117,41.58683671458688,0.032829825,1.001336932182312,2.8215548992156982
5m,LONG,5,range_pct >= 1.201,range_pct,13165,48.4846183061147,626,51.2779552715655,28.071780037152056,23.206175234413447,41.564565336061,0.0019252825,0.729920506477356,2.105865001678467
5m,LONG,20,bb_width >= 5.249,bb_width,13164,52.02825888787602,741,50.472334682860996,38.478882826542446,11.99345185631855,41.54504939214222,0.24890116,1.0364099740982056,3.1603667736053467
5m,LONG,10,cc_ret <= -0.7655,cc_ret,6583,52.4836700592435,429,53.14685314685315,33.6224958256375,19.524357321215646,41.419278502828035,0.088736154,0.8285698890686035,2.3516578674316406
5m,LONG,3,bb_width >= 5.249,bb_width,13164,45.76876329383166,741,50.337381916329285,23.474401423679303,26.86298049264998,41.41419604383653,0.054134488,0.5230674147605896,1.6438698768615723
15m,LONG,3,vs_ma20 <= -2.343,vs_ma20,4388,53.82862351868732,463,52.69978401727862,32.84553537244225,19.854248644836368,41.411338137908054,0.10416534,0.7837549448013306,2.114443302154541
5m,LONG,3,atr_pct >= 1.016,atr_pct,13164,48.21482831965968,381,53.54330708661418,23.474401423679303,30.068905662934874,41.112639157574854,0.14169602,0.7417866587638855,2.0455095767974854
5m,LONG,3,vs_ma200 <= -5.621,vs_ma200,6581,49.79486400243125,339,53.98230088495575,23.474401423679303,30.507899461276445,40.81854098358397,0.05710484,0.6691007614135742,2.149249792098999
5m,LONG,10,body_pct <= -0.7536,body_pct,6583,52.27100106334498,450,52.22222222222223,33.6224958256375,18.599726396584728,40.797673401987204,0.0686014,0.8184054493904114,2.3083038330078125
15m,LONG,10,body_pct <= -0.9319,body_pct,4389,54.4315333789018,451,52.106430155210646,40.48669977983642,11.619730375374225,40.6988737577023,0.051816545,0.9712124466896057,2.6598894596099854
15m,LONG,10,cc_ret <= -0.9371,cc_ret,4389,54.49988607883345,447,52.12527964205817,40.48669977983642,11.638579862221746,40.66815521512466,0.053162556,0.9712124466896057,2.660322666168213
15m,LONG,5,vs_ma50 <= -3.751,vs_ma50,4388,53.87420237010028,375,53.06666666666666,36.53351200731713,16.533154659349535,40.56303617536506,0.17777753,1.0232563018798828,2.887915849685669
2h,LONG,1,macd_hist <= -0.4073,macd_hist,2744,47.77696793002916,419,52.2673031026253,39.75165844531383,12.51564465731147,40.443942641295926,0.010008754,0.6202007532119751,1.9291073083877563
5m,LONG,20,vs_ma20 >= 1.759,vs_ma20,6582,47.38681251899119,528,50.75757575757576,38.478882826542446,12.278692931033312,40.23396195927397,0.08110361,0.905877947807312,2.8170135021209717
15m,LONG,5,macd_hist <= -0.3122,macd_hist,4389,55.183413078149925,390,52.05128205128206,36.53351200731713,15.51777004396493,39.82720890804694,0.07803272,0.846855640411377,2.1523444652557373
5m,LONG,5,range_pct >= 1.556,range_pct,6583,49.59744797204922,274,54.379562043795616,28.071780037152056,26.30778200664356,39.79752640391783,0.1239851,0.9536172151565552,2.463632106781006
30m,LONG,1,vs_ma200 <= -7.102,vs_ma200,5476,45.56245434623813,529,50.0945179584121,30.085502807554874,20.009015150857223,39.60845607513096,0.0015953268,0.5526092052459717,1.4942452907562256
15m,LONG,3,macd_hist <= -0.3122,macd_hist,4389,53.383458646616546,390,51.7948717948718,32.84553537244225,18.949336422429553,39.58359748314425,0.0639023,0.6895080208778381,1.9317771196365356
30m,LONG,3,range_pct >= 2.022,range_pct,5486,50.27342325920525,414,51.20772946859904,37.98868422172119,13.219045246877847,39.36699253298438,0.073158026,0.9014284610748291,2.6869375705718994
5m,LONG,10,range_pct >= 1.201,range_pct,13165,50.770983668818836,626,48.881789137380196,33.6224958256375,15.259293311742695,39.257286505569596,0.07239745,0.9452852010726929,2.7203173637390137
5m,LONG,10,vs_ma20 >= 1.759,vs_ma20,6582,42.403524764509264,528,49.621212121212125,33.6224958256375,15.998716295574624,39.14676652339374,0.029772194,0.7627071142196655,2.356748580932617
5m,LONG,20,atr_pct >= 0.7352,atr_pct,32910,51.491947736250374,1310,45.648854961832065,38.478882826542446,7.169972135289619,39.003371651151106,0.014541987,1.0521053075790405,2.9810075759887695
