side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
LONG,bb_pos <= 0.09543,bb_pos,<=,0.0954262071968438,6431,50.66086145234022,2.0508157341971724,4784,53.15635451505016,10.16420949994442,50.05053135493378,0.6620187840217127,10,42.99214501510574
LONG,vs_ma20 <= -9.279,vs_ma20,<=,-9.278920220000897,12862,50.36541750894107,2.148118254545686,8215,52.02678027997566,6.658804449159952,49.65672480197031,0.3567978620948074,3,45.36797583081571
LONG,bb_pos <= 0.09543,bb_pos,<=,0.0954262071968438,6431,49.7123308972166,1.4950316428212176,4849,52.6706537430398,7.302677912224091,49.585821590733744,0.7367631540387269,3,45.36797583081571
LONG,vs_ma50 <= -24.65,vs_ma50,<=,-24.650967759804896,6293,52.6934689337359,4.083423215592852,3151,53.411615360203115,10.419470345097373,49.58483656959438,1.1802741948560729,10,42.99214501510574
LONG,vs_ma50 <= -24.65,vs_ma50,<=,-24.650967759804896,6293,53.34498649292865,5.284172157682718,3165,53.30173775671406,7.991767968194424,49.48350409699583,0.6709095158252363,1,45.30996978851964
LONG,vs_ma50 <= -19.81,vs_ma50,<=,-19.81286064478038,9440,50.54025423728814,2.322954982892753,6101,52.02425831830847,6.65628248749276,49.274298990682134,0.5538904118427279,3,45.36797583081571
LONG,rsi14 <= 34.11,rsi14,<=,34.11369630641923,12908,49.759838859621944,1.5425396052265583,8916,51.42440556303275,6.05642973221704,49.14970260182081,0.2188686096974322,3,45.36797583081571
LONG,streak <= -5,streak,<=,-5.0,1356,51.474926253687315,2.864880535544266,1194,55.36013400335008,12.367988988244342,49.14419501470255,2.383088706730141,10,42.99214501510574
LONG,rsi14 <= 22.69,rsi14,<=,22.693853407102136,3227,56.554074992252865,7.944029274109816,2106,53.656220322886995,10.664075307781253,48.97615109059012,0.5317628520373482,10,42.99214501510574
LONG,vs_ma20 <= -20.32,vs_ma20,<=,-20.32086453336411,3216,57.929104477611936,9.868290142366007,1251,54.91606714628298,9.606097357763339,48.844122587002,0.9624543541169218,1,45.30996978851964
LONG,vs_ma20 <= -9.279,vs_ma20,<=,-9.278920220000897,12862,50.99517959881822,2.3958730417932728,8199,51.15257958287596,6.930223087407683,48.78086211771395,0.32268886075766723,5,44.222356495468276
LONG,bb_pos <= 0.09543,bb_pos,<=,0.0954262071968438,6431,51.92038563209454,3.3210790750695978,4823,51.793489529338586,7.571133033870311,48.70129113057452,0.6560752166371421,5,44.222356495468276
LONG,vs_ma20 <= -11.7,vs_ma20,<=,-11.698531102450728,9647,52.689955426557475,4.0799097084144265,5538,51.55290718671001,8.560762171604267,48.66727000808907,0.23160851297050014,10,42.99214501510574
LONG,streak <= -5,streak,<=,-5.0,1356,54.793510324483776,6.732695989237847,1206,54.72636815920397,9.416398370684334,48.54315171464205,0.539397482339733,1,45.30996978851964
LONG,vs_ma20 <= -11.7,vs_ma20,<=,-11.698531102450728,9647,53.02166476624858,4.9608504310026476,5564,51.41984184040259,6.109872051882952,48.54115755440157,0.21453127929316532,1,45.30996978851964
LONG,vs_ma20 <= -14.92,vs_ma20,<=,-14.91748045141695,6431,54.765977297465405,6.705162962219475,3291,51.990276511698575,6.680306723178937,48.24794895802146,0.44751962446869153,1,45.30996978851964
LONG,vs_ma50 <= -19.81,vs_ma50,<=,-19.81286064478038,9440,51.17584745762712,2.5765409006021756,6094,50.984574991795206,6.7622184963269305,48.23446294893189,0.34818750664999987,5,44.222356495468276
LONG,rsi14 <= 17.64,rsi14,<=,17.644959422436365,1291,58.40433772269559,9.794292004552538,841,55.41022592152199,12.41808090641625,48.00855469580424,0.8237026468076372,10,42.99214501510574
LONG,dd_from_high <= -50.05,dd_from_high,<=,-50.04769431489597,6247,49.36769649431727,1.1503972399218867,1911,52.851909994767134,7.4839341639514245,47.94199475398384,0.31682802530614407,3,45.36797583081571
LONG,streak <= -2,streak,<=,-2.0,14970,49.19171676686707,0.9744175124716818,11345,49.89863375936536,4.530657928549651,47.883606707611925,0.26744226796127185,3,45.36797583081571
LONG,streak <= -2,streak,<=,-2.0,14970,49.19171676686707,0.9744175124716818,11345,49.89863375936536,4.530657928549651,47.883606707611925,0.26744226796127185,3,45.36797583081571
LONG,bb_pos <= 0.1541,bb_pos,<=,0.15408769495430932,9647,50.25396496320099,2.0366657088056073,7386,50.29786081776334,4.929884986947634,47.80069523038314,0.21301878755445083,3,45.36797583081571
LONG,dd_from_high <= -43.94,dd_from_high,<=,-43.938152046585785,9371,48.83150144061466,0.6142021862192735,4422,50.723654454997735,5.355678624182026,47.4972529038056,0.3442405246420033,3,45.36797583081571
LONG,vol_ratio >= 2.228,vol_ratio,>=,2.228441999231217,3216,51.21268656716418,2.602640849021128,1741,52.498564043653076,9.506419028547334,47.35734971528097,4.2358694824900835,10,42.99214501510574
LONG,body_pct <= -8.672,body_pct,<=,-8.671796499477344,3260,56.31901840490797,8.101719150512587,1104,53.80434782608695,8.436371995271244,47.348157585468705,0.9123439107458278,3,45.36797583081571
LONG,bb_pos <= 0.1541,bb_pos,<=,0.15408769495430932,9647,50.969213226909915,2.369906669884969,7352,49.755168661588684,5.532812166120408,47.25359303470157,0.21834427751382754,5,44.222356495468276
LONG,cc_ret <= -8.659,cc_ret,<=,-8.65866111918705,3257,56.40159656125269,8.184297306857303,1107,53.65853658536586,8.29056075455015,47.21205794446988,0.894354705660191,3,45.36797583081571
LONG,streak <= -3,streak,<=,-3.0,6786,49.174771588564695,0.5647258704216469,5663,50.008829242451,7.016684227345259,47.158815444769424,1.044580670970847,10,42.99214501510574
LONG,streak <= -3,streak,<=,-3.0,6786,49.174771588564695,0.5647258704216469,5663,50.008829242451,7.016684227345259,47.158815444769424,1.044580670970847,10,42.99214501510574
LONG,cc_ret <= -12.02,cc_ret,<=,-12.02047375746585,1303,55.79432079815809,7.195014241133144,403,57.81637717121588,13.594020675747608,47.13308948031055,1.2335653828241862,5,44.222356495468276
LONG,body_pct <= -12.04,body_pct,<=,-12.0357416064007,1304,55.598159509202446,6.998852952177501,403,57.81637717121588,13.594020675747608,47.13308948031055,1.1821320426626096,5,44.222356495468276
LONG,vs_ma200 <= -39.24,vs_ma200,<=,-39.23816196110317,8434,49.691723974389376,1.0816782562463274,6476,49.72205064854849,6.729905633442748,47.05724448555085,0.6923776708045968,10,42.99214501510574
LONG,lower_wick <= 0.01126,lower_wick,<=,0.011264274757455743,1304,48.236196319018404,0.018897064623018878,869,54.31530494821634,8.947329117400628,47.04084562240261,0.7548072297548214,3,45.36797583081571
LONG,body_pct <= -8.672,body_pct,<=,-8.671796499477344,3260,55.42944785276074,6.8301412957357925,1104,53.44202898550725,9.219672490038974,46.98847695902001,0.6543121891547049,5,44.222356495468276
LONG,cc_ret <= -8.659,cc_ret,<=,-8.65866111918705,3257,55.35769112680381,6.758384569778862,1107,53.387533875338754,9.165177379870478,46.94308875953407,0.6013741684142306,5,44.222356495468276
LONG,vs_ma50 <= -32.96,vs_ma50,<=,-32.96423685707853,3147,55.513187162376866,7.452372827130937,631,55.467511885895405,10.157542097375767,46.931821701679674,1.4235862615720254,1,45.30996978851964
LONG,vol_ratio >= 1.752,vol_ratio,>=,1.7515078384977463,6431,49.38578759135438,1.168488336958994,3612,50.47065337763013,5.102677546814419,46.90315288490587,1.0808379319303112,3,45.36797583081571
LONG,range_pct >= 12.12,range_pct,>=,12.121199267056012,13037,50.84758763519215,2.630288380796763,4313,50.034778576396945,4.666802745581236,46.77059143757737,1.0615680797837181,3,45.36797583081571
LONG,vs_ma200 <= -45.94,vs_ma200,<=,-45.940023012798555,5623,49.97332384847946,1.3632781303364112,3512,50.37015945330297,7.378014438197226,46.75291765461604,0.8375832486428324,10,42.99214501510574
