direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
LONG,atr7 > 0.02182 AND vol_ratio_12 > 0.47867 AND atr7 > 0.03725 AND gold_ret20d ≤ 0.01654 AND lower_shadow ≤ 0.61893,95.7,511,1.14,84.1,SOLUSDT,4h
SHORT,ret_1 > 0.01203 AND htf_4h_cmf_14 ≤ 0.16413 AND vix_ret5d > -0.03544 AND htf_4h_ema50_vs_200 > -0.12887 AND vs_sma96 > 0.08352,95.7,46,1.38,69.3,XRPUSDT,1h
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c > -0.0015 AND htf_4h_atr > 0.04876,95.5,44,1.1,86.5,XRPUSDT,5m
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope > 0.0044 AND htf_4h_rsi_14 ≤ 0.47535 AND cmf_21 > 0.06218,95.2,63,1.36,70.3,ETHUSDT,5m
LONG,atr > 0.02262 AND ret_6 > -0.02564 AND body_ratio > 0.4133 AND atr > 0.03451,95.1,41,1.45,65.5,ETHUSDT,1h
SHORT,atr ≤ 0.0241 AND fractal_high > 0.5 AND stoch_k_9 > 0.77025,95.0,139,1.21,78.3,XRPUSDT,4h
LONG,lower_shadow ≤ 0.55941 AND vol_12 ≤ 0.00289 AND htf_1h_rsi_14 > 0.49488 AND vs_sma288 ≤ 0.00685 AND htf_1h_rsi_14 > 0.5145,95.0,120,1.35,70.3,ADAUSDT,5m
SHORT,atr ≤ 0.02669 AND nasdaq_ret5d ≤ 0.01214 AND vol_48 ≤ 0.01068 AND ret_2 > 0.00818 AND dc_pos_20 > 0.19982,95.0,40,1.17,81.5,ADAUSDT,4h
LONG,vol_48 > 0.00645 AND vol_ratio_12 ≤ 1.54889 AND vol_24 > 0.02012 AND hour > 0.08696 AND vol_6 > 0.01635,95.0,120,1.24,76.7,BNBUSDT,4h
LONG,vol_288 > 0.00202 AND lower_shadow ≤ 0.41801 AND hma_21_vs_c ≤ -0.0015 AND cmf_14 > -0.19843 AND fisher_9_signal > -0.93358,95.0,180,1.1,86.5,XRPUSDT,5m
SHORT,ret_1 > 0.01203 AND htf_4h_cmf_14 > 0.16413 AND vol_ratio_12 > 1.98138 AND stoch_d_14 > 0.81221,94.9,39,1.37,69.3,XRPUSDT,1h
LONG,atr7 > 0.01837 AND vol_ratio_24 ≤ 1.16109 AND vol_288 ≤ 0.02121 AND fg_norm > 0.675 AND ret_96 ≤ 0.2024,94.8,96,1.18,80.5,ADAUSDT,4h
LONG,atr7 > 0.02182 AND vol_ratio_12 ≤ 0.47867 AND vol_slope ≤ -0.47365 AND macd_5_13_hist > 0.00037,94.6,37,1.12,84.1,SOLUSDT,4h
SHORT,hl_vol > 0.01886 AND vs_sma48 > -0.04867 AND vol_ratio_12 > 0.90262 AND vol_ratio_48 ≤ 1.46794 AND ret_96 > -0.12834,94.6,148,1.26,75.2,BNBUSDT,4h
SHORT,atr ≤ 0.0241 AND fractal_high ≤ 0.5 AND ret_24 ≤ -0.04354 AND vs_sma576 ≤ 0.051,94.2,86,1.2,78.3,XRPUSDT,4h
LONG,atr7 > 0.02182 AND vol_ratio_12 > 0.47867 AND atr7 > 0.03725 AND gold_ret20d > 0.01654 AND lower_shadow ≤ 0.2525,94.2,52,1.12,84.1,SOLUSDT,4h
SHORT,ret_1 ≤ 0.01203 AND bb_width_48 ≤ 0.21479 AND htf_4h_rsi_14 ≤ 0.82306 AND stoch_d_24 > 0.87018 AND ret_24 > 0.04982,94.1,51,1.36,69.3,XRPUSDT,1h
SHORT,atr > 0.0241 AND inside_bar ≤ 0.5 AND adx > 0.21266 AND vol_slope > -0.6507 AND adx_slope ≤ 0.08464,93.9,391,1.2,78.3,XRPUSDT,4h
LONG,vol_48 > 0.00645 AND vol_ratio_12 > 1.54889 AND vol_slope ≤ 4.27362 AND adx_slope ≤ -0.01176 AND bb_squeeze_14 ≤ 0.5,93.8,32,1.22,76.7,BNBUSDT,4h
LONG,atr ≤ 0.00605 AND lower_shadow > 0.13479 AND rsi_21_slope ≤ -3.10252 AND atr7 ≤ 0.00572 AND htf_4h_vol_ratio_24 > 0.97008,93.8,48,1.15,81.5,ETHUSDT,5m
LONG,vol_48 > 0.00778 AND ret_1 > -0.01114 AND vs_sma288 > -0.21364 AND htf_4h_rsi_14 > 0.50095 AND ema9_vs_21 ≤ 0.005,93.8,32,1.38,67.7,BNBUSDT,1h
LONG,atr > 0.02158 AND vs_sma96 ≤ -0.13803,93.8,113,1.35,69.7,ADAUSDT,1h
SHORT,upper_shadow ≤ 0.23274 AND hl_vol > 0.0033 AND vol_24 ≤ 0.00465 AND bb_pos_20 > -0.1616 AND vol_slope ≤ 0.19939,93.5,123,1.26,74.3,XRPUSDT,5m
LONG,vol_48 > 0.00778 AND ret_1 > -0.01114 AND vs_sma288 ≤ -0.21364,93.5,31,1.38,67.7,BNBUSDT,1h
LONG,atr ≤ 0.02274 AND htf_4h_cmf_14 > 0.0563 AND stoch_k_24 ≤ 0.58499 AND htf_4h_rsi_14 > 0.42589 AND vol_96 ≤ 0.01283,93.3,75,1.33,70.2,SOLUSDT,1h
