side,cond,feat,op,thr,n_tr,wr_tr,edge_tr,n_ho,wr_ho,edge_ho,wl_ho,mean_ho,H,base_ho
LONG,cc_ret <= -5.533,cc_ret,<=,-5.53339027127606,7816,57.650972364380756,10.1155295628323,2073,60.63675832127352,14.784524505860396,55.95214631530124,2.711521086268624,10,45.85223381541312
SHORT,vol_ratio <= 0.4379,vol_ratio,<=,0.4378919970565004,38997,55.788906838987614,2.122582169876644,28862,57.12701822465526,2.4503071099632407,55.87129398624062,0.34787956200889336,3,45.32328888530798
SHORT,vol_ratio <= 0.5491,vol_ratio,<=,0.5490942584109532,77994,55.350411570120784,1.6840869010098132,55328,56.754265471370736,2.077554356678718,55.84726021013767,0.3314156533406321,3,45.32328888530798
LONG,body_pct <= -5.536,body_pct,<=,-5.535597056285856,7817,57.72035307662786,10.184910275079403,2067,60.52249637155298,14.67026255613986,55.8297174771847,2.7107512272103267,10,45.85223381541312
SHORT,vol_ratio <= 0.4968,vol_ratio,<=,0.49680688385215765,58495,55.55688520386358,1.890560534752609,42428,56.81861035165456,2.1418992369625443,55.7827001201021,0.3371300783755579,3,45.32328888530798
SHORT,vol_ratio <= 0.4379,vol_ratio,<=,0.4378919970565004,38997,55.00166679488166,2.3091396546890977,28851,56.978960867907524,2.390071531405084,55.722558126084195,0.4362164861758317,5,45.41111066349756
LONG,vs_ma50 <= -19.37,vs_ma50,<=,-19.367930602644076,7772,52.547606793618115,8.382332423733686,2085,60.38369304556355,17.79697911090617,55.70990501218483,1.0056325552451546,1,42.586713934657375
SHORT,vol_ratio <= 0.3612,vol_ratio,<=,0.36115915574800134,19499,55.720806195189496,3.256248996737952,14562,57.36162615025408,3.213859965667204,55.59262483610483,0.8678030444992828,10,45.85223381541312
LONG,vs_ma200 <= -19.96,vs_ma200,<=,-19.95519520722369,38169,50.352380203830336,2.81693740228188,19897,56.97843896064734,11.126205145234216,55.46463612738688,1.0665561062316964,10,45.85223381541312
LONG,vs_ma20 <= -8.505,vs_ma20,<=,-8.50496575328572,19499,55.85414636648033,9.5204710355913,8338,57.74766130966659,12.424372424358609,55.4089024994434,0.642110474665007,3,45.32328888530798
SHORT,vs_ma20 >= -3.467,vs_ma20,>=,-3.4669655371275674,311973,54.70569568520352,1.0393710160925522,200390,55.78322271570437,1.1065116010123504,55.30605044908441,0.24052723165885817,3,45.32328888530798
SHORT,vs_ma50 >= -5.782,vs_ma50,>=,-5.782294666274979,310869,54.38464433571697,0.7183196666059999,197515,55.7861428245956,1.109431709903582,55.30550972094026,0.24070155547512825,3,45.32328888530798
SHORT,vs_ma200 >= -12.93,vs_ma200,>=,-12.927631556281137,305349,53.243337951000335,0.5508108108077749,196422,55.734082740222576,1.1451934037201354,55.252059226330076,0.2905364265653855,5,45.41111066349756
