entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2024-09-04 13:35:00,SHORT,56354.8,56523.86,sl,-0.003991,0,0.6052
2024-09-12 08:50:00,LONG,58244.07,58069.34,sl,-0.004,0,0.5827
2024-09-12 12:50:00,LONG,57682.84,57509.79,sl,-0.004,0,0.5841
2024-09-16 00:40:00,LONG,58777.88,58601.55,sl,-0.004,0,0.5823
2024-09-16 01:10:00,LONG,58557.26,58381.59,sl,-0.004,0,0.5805
2024-09-16 01:15:00,LONG,58580.37,58404.62,sl,-0.004,0,0.5963
2024-09-16 10:00:00,LONG,58603.6,58732.61,timeout,0.001201,1,0.599
2024-09-16 10:05:00,LONG,58589.28,58699.99,timeout,0.00089,1,0.5872
2024-09-16 13:40:00,LONG,58123.05,58413.66,tp,0.004,1,0.5874
2024-09-16 14:30:00,LONG,57688.82,57977.26,tp,0.004,1,0.5845
2024-09-26 14:10:00,LONG,64830.37,65154.52,tp,0.004,1,0.5805
2024-11-07 17:55:00,LONG,76296.02,76067.13,sl,-0.004,0,0.5841
2024-11-10 20:05:00,LONG,79509.33,79270.81,sl,-0.004,0,0.5806
2024-11-10 20:10:00,LONG,79469.05,79230.65,sl,-0.004,0,0.5839
2024-11-10 20:45:00,LONG,79285.77,79047.92,sl,-0.004,0,0.5834
2024-11-10 20:50:00,LONG,79107.51,78870.19,sl,-0.004,0,0.5862
2024-11-10 21:05:00,LONG,78789.39,78553.02,sl,-0.004,0,0.5818
2024-11-14 06:30:00,SHORT,89805.88,89356.86,tp,0.004025,1,0.5871
2024-11-14 18:40:00,LONG,89118.9,89564.49,tp,0.004,1,0.5817
2024-12-05 22:30:00,SHORT,95432.26,94955.1,tp,0.004025,1,0.625
2024-12-05 22:35:00,SHORT,95686.71,95973.77,sl,-0.003991,0,0.6059
