entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2023-08-30,SHORT,27286.34,27149.91,tp,0.004025,1,0.9289
2023-08-31,LONG,25953.75,26083.52,tp,0.004,1,0.8831
2023-09-01,LONG,25817.95,25947.04,tp,0.004,1,0.8854
2023-09-02,LONG,25882.44,26011.86,tp,0.004,1,0.8593
2023-09-03,SHORT,25958.22,25828.43,tp,0.004025,1,0.8451
2023-09-04,SHORT,25813.11,25684.04,tp,0.004025,1,0.7825
2023-09-05,LONG,25805.0,25934.02,tp,0.004,1,0.8747
2023-09-06,LONG,25772.83,25901.69,tp,0.004,1,0.8907
2023-09-07,SHORT,26241.87,26110.66,tp,0.004025,1,0.8744
2023-09-08,SHORT,25897.54,25768.06,tp,0.004025,1,0.7887
2023-09-09,SHORT,25888.66,25759.22,tp,0.004025,1,0.8667
2023-09-10,SHORT,25828.69,25699.55,tp,0.004025,1,0.798
2023-09-11,LONG,25175.1,25300.98,tp,0.004,1,0.8026
2023-09-12,LONG,25853.02,25982.29,tp,0.004,1,0.8103
2023-09-13,LONG,26235.11,26366.29,tp,0.004,1,0.8199
2023-09-14,SHORT,26509.47,26376.92,tp,0.004025,1,0.8346
2023-09-15,SHORT,26586.7,26453.77,tp,0.004025,1,0.8301
2023-09-16,SHORT,26546.39,26413.66,tp,0.004025,1,0.806
2023-09-17,SHORT,26514.25,26381.68,tp,0.004025,1,0.8814
2023-09-18,LONG,26775.89,26909.77,tp,0.004,1,0.8559
2023-09-19,LONG,27223.87,27359.98,tp,0.004,1,0.823
2023-09-20,SHORT,27111.44,26975.88,tp,0.004025,1,0.8547
2023-09-21,LONG,26581.36,26714.27,tp,0.004,1,0.8569
2023-09-22,LONG,26593.43,26513.65,sl,-0.004,0,0.7929
2023-09-23,SHORT,26562.67,26429.86,tp,0.004025,1,0.8382
2023-09-24,LONG,26261.5,26392.81,tp,0.004,1,0.8642
2023-09-25,SHORT,26291.66,26160.2,tp,0.004025,1,0.6758
2023-09-26,LONG,26234.78,26365.95,tp,0.004,1,0.7912
2023-09-27,LONG,26386.18,26518.11,tp,0.004,1,0.7913
2023-09-28,LONG,27034.9,27170.08,tp,0.004,1,0.8571
2023-09-29,LONG,26920.41,27055.02,tp,0.004,1,0.8651
2023-09-30,LONG,26976.04,27110.92,tp,0.004,1,0.847
2023-10-01,LONG,28006.57,28146.6,tp,0.004,1,0.8862
2023-10-02,LONG,27508.26,27645.8,tp,0.004,1,0.882
2023-10-03,SHORT,27412.75,27275.68,tp,0.004025,1,0.8908
2023-10-04,SHORT,27764.68,27625.86,tp,0.004025,1,0.8625
2023-10-05,LONG,27424.1,27561.22,tp,0.004,1,0.833
2023-10-07,SHORT,27942.69,27802.98,tp,0.004025,1,0.8521
2023-10-08,SHORT,27903.09,27763.58,tp,0.004025,1,0.8888
2023-10-09,SHORT,27576.32,27438.44,tp,0.004025,1,0.8776
2023-10-10,SHORT,27376.42,27239.54,tp,0.004025,1,0.8702
2023-10-11,SHORT,26862.08,26727.77,tp,0.004025,1,0.7053
2023-10-12,LONG,26773.01,26906.87,tp,0.004,1,0.8033
2023-10-13,LONG,26875.43,26794.8,sl,-0.004,0,0.8166
2023-10-14,LONG,26865.91,27000.24,tp,0.004,1,0.8237
2023-10-15,LONG,27167.73,27303.57,tp,0.004,1,0.752
2023-10-16,SHORT,28486.53,28344.1,tp,0.004025,1,0.9091
2023-10-17,SHORT,28381.71,28239.8,tp,0.004025,1,0.8877
2023-10-18,SHORT,28305.84,28164.31,tp,0.004025,1,0.8825
2023-10-19,LONG,28728.07,28871.71,tp,0.004,1,0.8037
2023-10-20,LONG,29683.87,29832.29,tp,0.004,1,0.8375
2023-10-21,LONG,29924.75,30074.38,tp,0.004,1,0.8727
2023-10-22,LONG,30007.46,30157.49,tp,0.004,1,0.7769
2023-10-23,SHORT,33053.46,32888.19,tp,0.004025,1,0.9335
2023-10-24,SHORT,33905.77,33736.24,tp,0.004025,1,0.9175
2023-10-25,SHORT,34478.8,34306.41,tp,0.004025,1,0.9247
2023-10-26,SHORT,34134.58,33963.91,tp,0.004025,1,0.8396
2023-10-27,LONG,33908.97,34078.51,tp,0.004,1,0.8949
2023-10-28,LONG,34098.04,34268.53,tp,0.004,1,0.8679
2023-10-29,SHORT,34508.63,34336.08,tp,0.004025,1,0.8964
2023-10-30,LONG,34491.97,34664.43,tp,0.004,1,0.8718
