feature,bin,n_train,edge_train,n_hold,edge_hold,wr_hold,wr_lo,wr_hi,mean_hold,group,same_sign,abs_hold
range_pct,"(4.13, 5.05]",6518,-3.70457248832223,5374,-0.2366476552889526,40.26795682917752,38.96409303096034,41.585724576162924,-0.7803503922096577,[A]캔들,True,0.2366476552889526
range_pct,"(5.05, 6.002]",6518,-2.132717590897652,5303,-1.0479747283652348,38.05393173675278,36.75624563903122,39.3689132502034,-1.5916774652859398,[A]캔들,True,1.0479747283652348
range_pct,"(6.002, 7.051]",6518,-1.0649125775018495,4936,-1.357102978846226,38.310372771474874,36.963732339584745,39.675194706173166,-1.9008057157669311,[A]캔들,True,1.357102978846226
range_pct,"(7.051, 8.27]",6518,-0.6191397671688028,4198,-0.8709817252093327,38.804192472606005,37.340939503637145,40.287917329043076,-1.4146844621300378,[A]캔들,True,0.8709817252093327
range_pct,"(8.27, 9.843]",6518,-0.4138601780262663,3799,-0.3345653860607398,38.87865227691498,37.34048026355471,40.439293682328284,-0.878268122981445,[A]캔들,True,0.3345653860607398
range_pct,"(9.843, 12.121]",6518,1.6065091121527129,3095,1.4943769187032345,40.51696284329564,38.800170891815625,42.25726682942834,0.9506741817825294,[A]캔들,True,1.4943769187032345
range_pct,"(12.121, 16.352]",6518,3.867128667345969,2641,1.1762774019584215,39.30329420673987,37.457308061515306,41.18035402002486,0.6325746650377164,[A]캔들,True,1.1762774019584215
range_pct,"(16.352, 9900.0]",6519,11.376292678387308,1659,1.0319763100803447,37.37191078963231,35.07555447922305,39.72661549294988,0.48827357315963954,[A]캔들,True,1.0319763100803447
body_ratio,"(-0.001, 0.0909]",6519,1.1244507911157466,3749,-0.8959013818203455,39.69058415577487,38.13574893151634,41.266525867398705,-1.4396041187410507,[A]캔들,False,0.8959013818203455
body_ratio,"(0.0909, 0.18]",6518,0.3304360118144585,3757,-0.9400307737004435,39.31328187383551,37.763062413602874,40.88533373262142,-1.4837335106211487,[A]캔들,False,0.9400307737004435
body_ratio,"(0.18, 0.265]",6518,0.8004968702589297,3860,-0.6853709555086275,40.284974093264246,38.748067968138415,41.84119842414847,-1.2290736924293326,[A]캔들,False,0.6853709555086275
body_ratio,"(0.265, 0.344]",6518,-0.13525142443240767,3883,-0.3368201504340653,40.303888745815094,38.77137201358926,41.85557198124707,-0.8805228873547705,[A]캔들,True,0.3368201504340653
body_ratio,"(0.344, 0.421]",6518,-0.07390114337381437,3952,-0.05398785350313129,39.42307692307692,37.91043443630846,40.95626234952846,-0.5976905904238364,[A]캔들,True,0.05398785350313129
body_ratio,"(0.421, 0.498]",6518,-0.8775127689363638,4012,0.39091165722852494,39.705882352941174,38.20237112809046,41.22908851912272,-0.15279107969218023,[A]캔들,False,0.39091165722852494
body_ratio,"(0.498, 0.576]",6518,0.09768641811720524,4127,0.6961644297681312,39.66561667070511,38.183342409118325,41.16711247155296,0.15246169284742608,[A]캔들,True,0.6961644297681312
body_ratio,"(0.576, 0.661]",6518,-0.8121054275163182,4253,-0.1514458589175608,40.4420409122972,38.97629751047356,41.92503553419505,-0.6951485958382659,[A]캔들,True,0.1514458589175608
body_ratio,"(0.661, 0.762]",6519,-1.0178373643531762,4516,0.6637219647363386,41.984056687333926,40.55202079440866,43.42971874265831,0.12001922781563346,[A]캔들,False,0.6637219647363386
body_ratio,"(0.762, 1.0]",6518,0.5635216805357501,4346,0.98079086549778,43.14312011044639,41.67730291095287,44.621048734771435,0.4370881285770749,[A]캔들,True,0.98079086549778
upper_wick,"(-0.001, 0.0427]",6519,0.2940379999380873,3737,0.1769118286587374,40.08563018464009,38.52530272401541,41.6663204658037,-0.36679090826196775,[A]캔들,True,0.1769118286587374
upper_wick,"(0.0427, 0.0902]",6518,-1.1231985904803459,4184,0.40745082702143626,40.29636711281071,38.819667856239555,41.7908690847947,-0.13625190989926889,[A]캔들,False,0.40745082702143626
upper_wick,"(0.0902, 0.137]",6518,-0.8423915490161118,4228,0.008394857971572023,41.22516556291391,39.7500171848476,42.71624525748956,-0.5353078789491331,[A]캔들,False,0.008394857971572023
upper_wick,"(0.137, 0.186]",6518,-0.37354210043017666,4188,-0.5872072709599389,38.68194842406877,37.21792961392431,40.16671201948091,-1.130910007880644,[A]캔들,True,0.5872072709599389
upper_wick,"(0.186, 0.239]",6518,-0.4411126272528678,4220,0.2611878889519893,41.800947867298575,40.32089889674956,43.2959109760449,-0.28251484796871584,[A]캔들,False,0.2611878889519893
upper_wick,"(0.239, 0.298]",6518,0.23360730628870918,4072,1.252684941656924,42.26424361493123,40.75496841867002,43.78810116479957,0.7089822047362186,[A]캔들,True,1.252684941656924
upper_wick,"(0.298, 0.365]",6518,0.3143665249230345,3916,0.4017301829169937,41.215526046986724,39.68317884568022,42.76509151299959,-0.14197255400371142,[A]캔들,True,0.4017301829169937
upper_wick,"(0.365, 0.449]",6518,0.6723044612648597,3986,0.42220390239904304,40.81786251881586,39.30157655147548,42.35183044092242,-0.12149883452166209,[A]캔들,True,0.42220390239904304
upper_wick,"(0.449, 0.564]",6518,0.38839558977642064,3924,-0.5837281420048751,39.32212028542304,37.80491711144121,40.86021032139621,-1.1274308789255802,[A]캔들,False,0.5837281420048751
upper_wick,"(0.564, 0.973]",6519,0.8773532686231613,3997,-1.7659517007213164,38.72904678508882,37.23035467364415,40.24938358942531,-2.3096544376420214,[A]캔들,False,1.7659517007213164
lower_wick,"(-0.001, 0.0601]",6519,2.4442434983597776,4209,0.49705116799532806,40.76977904490378,39.29425586531839,42.26213590597441,-0.04665156892537709,[A]캔들,True,0.49705116799532806
lower_wick,"(0.0601, 0.113]",6518,0.04784357668033401,4397,0.8343045884934351,42.870138730952924,41.41418145656785,44.33854365855558,0.29060185157273,[A]캔들,True,0.8343045884934351
lower_wick,"(0.113, 0.166]",6518,0.12043182523805207,4638,-0.022525039758139354,40.685640362225094,39.28010259260456,42.10659530764262,-0.5662277766788445,[A]캔들,False,0.022525039758139354
lower_wick,"(0.166, 0.218]",6518,-1.382376924626084,4401,-0.076675985963914,41.24062713019768,39.79448834012992,42.70204456584336,-0.6203787228846191,[A]캔들,True,0.076675985963914
lower_wick,"(0.218, 0.27]",6518,-1.2364434108513063,3976,-0.880306387095786,39.48692152917505,37.9783269714891,41.01581189072089,-1.4240091240164912,[A]캔들,True,0.880306387095786
lower_wick,"(0.27, 0.328]",6518,-0.6310846459727655,3909,0.09730518092367207,40.41954464057304,38.89127167323308,41.96662965351624,-0.44639755599703307,[A]캔들,False,0.09730518092367207
lower_wick,"(0.328, 0.393]",6518,-0.35543831327260555,3701,0.45998852009869035,39.989192110240474,38.42208212863741,41.57706277407582,-0.0837142168220148,[A]캔들,False,0.45998852009869035
lower_wick,"(0.393, 0.474]",6518,-0.023676708270481406,3704,-0.1681042752178451,39.0658747300216,37.50671085417475,40.64769574183518,-0.7118070121385502,[A]캔들,True,0.1681042752178451
lower_wick,"(0.474, 0.588]",6519,0.5653218329625167,3850,0.4136802388274031,40.44155844155844,38.90154593548351,42.00062710660519,-0.13002249809330205,[A]캔들,True,0.4136802388274031
lower_wick,"(0.588, 1.0]",6518,0.45071753834241424,3670,-1.327329549638741,38.88283378746594,37.31805206543491,40.47086512685777,-1.871032286559446,[A]캔들,False,1.327329549638741
close_pos,"(-0.001, 0.142]",6519,0.08546613138379122,4856,-0.5979162513795436,43.80148270181219,42.41144570719562,45.20131928498026,-1.1416189883002488,[A]캔들,False,0.5979162513795436
close_pos,"(0.142, 0.239]",6518,-2.3050888083464387,4623,0.08067942307381698,42.09387843391737,40.67781891059687,43.52306663517155,-0.46302331384688816,[A]캔들,False,0.08067942307381698
close_pos,"(0.239, 0.327]",6518,-1.4691589645085426,4148,-0.8306216720778944,39.48891031822565,38.01167341490378,40.98559854267763,-1.3743244089985995,[A]캔들,True,0.8306216720778944
close_pos,"(0.327, 0.418]",6518,-0.606151505079322,3780,0.6190955199024019,40.18518518518518,38.632952812626634,41.75734682359493,0.0753927829816967,[A]캔들,False,0.6190955199024019
close_pos,"(0.418, 0.514]",6518,0.27979617878572327,3807,-0.3123954390868632,38.11400052534804,36.58393689792122,39.668028022373534,-0.8560981760075683,[A]캔들,False,0.3123954390868632
close_pos,"(0.514, 0.613]",6519,2.0101051458020107,3752,0.05888649653235345,39.33901918976546,37.78756941716136,40.91227777554241,-0.4848162403883517,[A]캔들,True,0.05888649653235345
close_pos,"(0.613, 0.708]",6517,0.416506104901738,3751,-0.11997472296106171,39.056251666222344,37.506885297181896,40.62801125877402,-0.6636774598817669,[A]캔들,False,0.11997472296106171
close_pos,"(0.708, 0.799]",6518,1.0797103933424408,3720,0.5628194507440745,41.02150537634409,39.45090062707923,42.61063496562697,0.019116713823369342,[A]캔들,True,0.5628194507440745
close_pos,"(0.799, 0.889]",6520,0.5524088027664646,4102,-0.39831820035682697,39.27352510970258,37.78972238658257,40.77740012491422,-0.9420209372775321,[A]캔들,False,0.39831820035682697
close_pos,"(0.889, 1.0]",6517,-0.0440273406800431,3916,1.173218427710373,40.98569969356486,39.45487781283026,42.534190316861526,0.6295156907896678,[A]캔들,False,1.173218427710373
gap_pct,"(-6.409000000000001, -0.0679]",6514,2.1716278763694206,2021,-0.32383951862931815,38.94111825828798,36.83807092589457,41.086128181828215,-0.8675422555500233,[A]캔들,False,0.32383951862931815
gap_pct,"(-0.0679, -0.0255]",6514,-0.8939787546256817,2919,-0.6329816921349932,40.42480301473107,38.658203514302464,42.21657259398886,-1.1766844290556984,[A]캔들,True,0.6329816921349932
gap_pct,"(-0.0255, -0.00332]",6513,-0.5290312264234602,3522,-1.23698097530308,37.876206700738216,36.28819378519058,39.49063870688734,-1.780683712223785,[A]캔들,True,1.23698097530308
gap_pct,"(-0.00332, 0.0]",23329,-2.3737105364544617,19176,0.1018449956565648,41.02523988318732,40.330902153512874,41.72317278733546,-0.44185774126414035,[A]캔들,False,0.1018449956565648
gap_pct,"(0.0, 0.0089]",2725,3.9847411951684624,2005,-0.08433407883661737,43.19201995012469,41.03884440884203,45.37123391689555,-0.6280368157573225,[A]캔들,False,0.08433407883661737
gap_pct,"(0.0089, 0.0312]",6515,-0.46242614242829383,4571,0.04077569087979194,40.58192955589586,39.1668529814656,42.012823272243374,-0.5029270460409132,[A]캔들,False,0.04077569087979194
gap_pct,"(0.0312, 0.0741]",6513,0.7395755864299618,3736,0.10429311384325696,39.4271948608137,37.87174906030546,41.00436162844671,-0.4394096230774482,[A]캔들,True,0.10429311384325696
gap_pct,"(0.0741, 4.477]",6513,5.809411618343514,2505,1.7959623379387373,40.0,38.09823803564314,41.93238645655279,1.2522596010180322,[A]캔들,True,1.7959623379387373
cc_ret,"(-56.315, -6.112]",6514,2.0070127609407002,2745,-0.29796131473067466,40.619307832422585,38.796381754387674,42.46845358570613,-0.8416640516513798,[A]캔들,False,0.29796131473067466
cc_ret,"(-6.112, -3.474]",6514,0.43742698958665827,4821,0.906941651346389,42.77120929267787,41.38091395530069,44.17301593951699,0.3632389144256839,[A]캔들,True,0.906941651346389
cc_ret,"(-3.474, -1.997]",6513,-2.250770872565237,4896,-0.38814536630011653,40.318627450980394,38.95266953676634,41.699766248096594,-0.9318481032208217,[A]캔들,True,0.38814536630011653
cc_ret,"(-1.997, -0.899]",6514,-2.1379795807002147,4568,-0.34363786621744175,40.36777583187391,38.95362121504034,41.79811786533374,-0.8873406031381469,[A]캔들,True,0.34363786621744175
cc_ret,"(-0.899, 0.0144]",6513,-1.7437196838702773,4193,-0.6430619180725806,41.61698068208919,40.13330579454465,43.11600244715787,-1.1867646549932858,[A]캔들,True,0.6430619180725806
cc_ret,"(0.0144, 0.942]",6514,-1.8347177606827207,4175,0.03032903221362404,42.25149700598803,40.76092151694667,43.75631885895082,-0.5133737047070811,[A]캔들,False,0.03032903221362404
cc_ret,"(0.942, 2.033]",6513,-1.2694556856436758,4214,-0.5181420704932308,40.033222591362126,38.56358437305705,41.521016243523725,-1.061844807413936,[A]캔들,True,0.5181420704932308
cc_ret,"(2.033, 3.559]",6514,-0.6101792905642096,4125,-0.8799556178841518,38.375757575757575,36.90317480825496,39.869971441773124,-1.423658354804857,[A]캔들,True,0.8799556178841518
cc_ret,"(3.559, 6.46]",6513,1.0833420557502533,3995,0.5434346675214694,38.22277847309136,36.72791377207127,39.740271414358716,-0.000268069399235754,[A]캔들,True,0.5434346675214694
cc_ret,"(6.46, 392.411]",6514,6.318399280185574,2723,2.2503182589607724,39.03782592728608,37.22215885245756,40.88438022924048,1.7066155220400674,[A]캔들,True,2.2503182589607724
size_vs_atr,"(0.0621, 0.491]",6459,-3.655041160133817,3589,-3.566476953910176,33.184731122875455,31.66287752093807,34.7425437478426,-4.110179690830881,[A]캔들,True,3.566476953910176
size_vs_atr,"(0.491, 0.598]",6458,-1.7456148564736633,4035,-2.0012278147850666,38.95910780669145,37.46559097794298,40.473628029804196,-2.5449305517057716,[A]캔들,True,2.0012278147850666
size_vs_atr,"(0.598, 0.689]",6458,-2.012889451453561,3935,-1.1551817738670564,40.02541296060991,38.504997891409644,41.56528470132016,-1.6988845107877615,[A]캔들,True,1.1551817738670564
size_vs_atr,"(0.689, 0.78]",6459,-1.1970201455824814,4157,-1.1310915570737436,40.221313447197495,38.740381338684664,41.72030238453134,-1.674794293994449,[A]캔들,True,1.1310915570737436
size_vs_atr,"(0.78, 0.881]",6458,-0.043380230629947114,4278,-0.3777942598908107,40.813464235624124,39.349526738236904,42.29388575978731,-0.9214969968115159,[A]캔들,True,0.3777942598908107
size_vs_atr,"(0.881, 0.995]",6458,-0.7190503492251734,4370,0.0585317771401872,41.51029748283753,40.057434755652984,42.978073434675615,-0.48517095978051794,[A]캔들,False,0.0585317771401872
size_vs_atr,"(0.995, 1.138]",6459,1.2396674705712503,4424,0.5214423753583652,41.659132007233275,40.214233604962715,43.1185035010801,-0.022260361562339938,[A]캔들,True,0.5214423753583652
size_vs_atr,"(1.138, 1.336]",6458,1.6056189979111108,4317,1.244771768964156,42.25156358582349,40.78556992771268,43.73133529741754,0.701069032043451,[A]캔들,True,1.244771768964156
